Transcript	Intron_No	Beg	End
GA10015-RB 	 1	 1641894	 1641954	1
GA10015-RB 	 2	 1642401	 1642464	1
GA10015-RB 	 3	 1642740	 1642800	1
GA10015-RB 	 4	 1642911	 1642971	1
GA10015-RB 	 5	 1643208	 1643263	1
GA10015-RB 	 6	 1643760	 1643821	1
GA10015-RB 	 7	 1643955	 1644022	1
GA10015-RB 	 8	 1644156	 1644217	1
GA10015-RB 	 9	 1644282	 1644345	1
GA10015-RB 	10	 1644427	 1644487	1
GA10015-RB 	11	 1644693	 1644754	1
GA10015-RB 	12	 1644895	 1644963	1
GA10015-RB 	13	 1646037	 1646237	1
GA10015-RB 	14	 1646328	 1646383	1
GA10015-RB 	15	 1646839	 1646908	1
GA10015-RB 	16	 1647020	 1647081	1
GA10023-RB 	 1	10408419	10414163	1
GA10023-RB 	 2	10414430	10414952	1
GA10023-RB 	 3	10415109	10425041	1
GA10023-RB 	 4	10425247	10425347	1
GA10023-RB 	 5	10425474	10426140	1
GA10023-RB 	 6	10426308	10426371	1
GA10023-RB 	 7	10426434	10426553	1
GA10034-RA 	 1	 9461166	 9461242	2
GA10034-RA 	 2	 9462175	 9462235	2
GA10034-RA 	 3	 9462421	 9462480	2
GA10034-RA 	 4	 9462625	 9462682	2
GA10034-RA 	 5	 9462886	 9462963	2
GA10035-RA 	 1	10371010	10371066	1
GA10035-RA 	 2	10371233	10384202	1
GA10035-RA 	 3	10384370	10384451	1
GA10035-RA 	 4	10385592	10390363	1
GA10035-RA 	 5	10390496	10391281	1
GA10049-RA 	 1	 3653388	 3653456	1
GA10051-RB 	 1	 9476191	 9477177	2
GA10051-RB 	 2	 9477867	 9477935	2
GA10051-RB 	 3	 9478021	 9478086	2
GA10051-RB 	 4	 9478208	 9478284	2
GA10051-RB 	 5	 9478440	 9478496	2
GA10051-RB 	 6	 9478881	 9478942	2
GA10051-RB 	 7	 9479309	 9479364	2
GA10051-RB 	 8	 9479512	 9479577	2
GA10051-RB 	 9	 9480067	 9480136	2
GA10056-RA 	 1	16570693	16570767	1
GA10056-RA 	 2	16570901	16570968	1
GA10056-RA 	 3	16572150	16572213	1
GA10056-RA 	 4	16572437	16580353	1
GA10057-RA 	 1	 3019520	 3019593	1
GA10057-RA 	 2	 3019655	 3020081	1
GA10057-RA 	 3	 3020445	 3020516	1
GA10057-RA 	 4	 3020615	 3020675	1
GA10057-RA 	 5	 3020797	 3020868	1
GA10057-RA 	 6	 3022993	 3023058	1
GA10057-RA 	 7	 3023332	 3023401	1
GA10057-RA 	 8	 3024215	 3024275	1
GA10057-RA 	 9	 3024427	 3024489	1
GA10058-RC 	 1	 9485610	 9485678	1
GA10058-RC 	 2	 9486362	 9486427	1
GA10058-RC 	 3	 9486513	 9486581	1
GA10058-RC 	 4	 9486703	 9486773	1
