Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641894	   1647081	 1	      1140	    2.000	1
GA10023-RB 	   8690452	   8708586	 5	     17153	    0.051	1
GA10034-RA 	   9654042	   9655839	 4	       334	    0.368	1
GA10035-RA 	   8725724	   8745995	 5	     18667	    0.207	1
GA10049-RA 	  13424422	  13424490	 3	        69	    0.000	1
GA10051-RB 	   9636869	   9640814	 4	      1510	    0.000	2
GA10056-RA 	  15720639	  15730299	11	      8124	    0.030	1
GA10057-RA 	  14053389	  14058358	 3	       966	    0.000	1
GA10058-RC 	   9628319	   9631395	 4	       644	    0.168	1
GA10075-RA 	  12692153	  12692292	 3	       140	    1.000	1
GA10076-RA 	   1184445	   1188907	 1	      3908	    0.033	1
GA10078-RB 	  12709056	  12712394	 3	      3105	    1.240	2
GA10079-RA 	  12062221	  12075277	 3	     11677	    0.039	2
GA10080-RA 	  12057207	  12058457	 3	       192	    0.000	1
GA10081-RB 	  12044940	  12045853	 3	       914	    0.379	1
GA10084-RA 	  11964050	  12026709	 3	     61283	    0.205	1
GA10086-RB 	  11972390	  11975773	 3	      1980	    0.000	1
GA10089-RA 	  11946405	  11950828	 3	       554	    0.000	2
GA10094-RB 	  11941882	  11944165	 3	      1455	    0.326	1
GA10096-RA 	  11922764	  11923109	 3	       134	    2.522	1
GA10097-RA 	  11910511	  11910566	 3	        56	    0.000	1
GA10105-RA 	   1865876	   1866947	 2	       191	    3.000	1
GA10106-RA 	  11878788	  11878850	 3	        63	    0.000	1
GA10108-RB 	  11823649	  11864229	 3	     39266	    0.229	1
GA10109-RA 	  11775390	  11775456	 3	        67	    0.000	1
GA10113-RB 	  11769280	  11771606	 3	       624	    0.000	1
GA10115-RA 	  11766313	  11766742	 3	       120	    1.650	1
GA10117-RA 	  11756739	  11760988	 3	      3747	    0.002	2
GA10120-RA 	  12196648	  12197716	 3	      1069	    0.615	1
GA10150-RA 	  12155818	  12156554	 3	       484	    0.000	1
GA10151-RA 	  12145522	  12145586	 3	        65	    0.000	1
GA10153-RA 	  12129826	  12130041	 3	       216	    0.000	1
