Gene_Name	Beg	End	Region	Nuc	Mean_Cov
Region_0001	         1	     14930	 1	     14930	    2.493
Region_0002	     15966	     15985	 1	        20	    4.000
Region_0003	     16457	     23595	 1	      7139	    4.000
Region_0004	     69907	     70721	 1	       815	    5.000
Region_0005	     71441	     72446	 1	      1006	    5.123
Region_0006	     73916	     74163	 1	       248	    6.000
Region_0007	     77332	     78876	 1	      1545	    8.007
Region_0008	     79732	     81421	 1	      1690	    8.040
Region_0009	     81782	     83299	 1	      1518	    7.383
Region_0010	     84084	     89438	 1	      5355	    6.540
Region_0011	     91234	     92753	 1	      1520	    5.000
Region_0012	     93549	     93976	 1	       428	    4.000
Region_0013	     94627	     96655	 1	      2029	    4.000
Region_0014	     97393	    106731	 1	      9339	    2.605
Region_0015	    142999	    144387	 1	      1389	    6.000
Region_0016	    145273	    146847	 1	      1575	    5.664
Region_0017	    160462	    164136	 1	      3675	    4.121
Region_0018	    165295	    199039	 1	     33745	    5.565
Region_0019	    209895	    230513	 1	     20619	    3.689
Region_0020	    232666	    239269	 1	      6604	    3.113
Region_0021	    241360	    243332	 1	      1973	    2.000
Region_0022	    244878	    245760	 1	       883	    3.960
Region_0023	    246676	    247800	 1	      1125	    2.000
Region_0024	    249265	    249641	 1	       377	    0.000
Region_0025	    250085	    257476	 1	      7392	    2.459
Region_0026	    265610	    289507	 1	     23898	    3.935
Region_0027	    290045	    290138	 1	        94	    3.000
Region_0028	    292074	    292621	 1	       548	    3.000
Region_0029	    294930	    295201	 1	       272	    3.000
Region_0030	    297339	    310958	 1	     13620	    7.211
Region_0031	    352590	    356608	 1	      4019	   10.000
Region_0032	    357046	    357935	 1	       890	   10.000
Region_0033	    358705	    361337	 1	      2633	   10.426
Region_0034	    364812	    365535	 1	       724	   11.000
Region_0035	    367889	    376405	 1	      8517	   11.145
Region_0036	    377361	    377885	 1	       525	   11.000
Region_0037	    380178	    384452	 1	      4275	   13.139
Region_0038	    386508	    388944	 1	      2437	   13.806
Region_0039	    389525	    389595	 1	        71	   13.000
Region_0040	    390794	    391394	 1	       601	   12.451
Region_0041	    400022	    400894	 1	       873	    8.000
Region_0042	    401344	    401713	 1	       370	    8.000
Region_0043	    410327	    413337	 1	      3011	    8.000
Region_0044	    413739	    414227	 1	       489	    8.000
Region_0045	    414771	    416681	 1	      1911	    8.389
Region_0046	    419600	    426448	 1	      6849	    7.421
Region_0047	    427364	    427598	 1	       235	    6.000
Region_0048	    429744	    439876	 1	     10133	    6.200
Region_0049	    449124	    454785	 1	      5662	    6.416
Region_0050	    455836	    456555	 1	       720	    6.000
Region_0051	    457130	    459478	 1	      2349	    6.173
Region_0052	    461008	    462891	 1	      1884	    5.710
Region_0053	    467744	    468404	 1	       661	    6.000
Region_0054	    502040	    523964	 1	     21925	    1.000
Region_0055	    527495	    534179	 1	      6685	    3.705
Region_0056	    541679	    543584	 1	      1906	    2.051
Region_0057	    564122	    573087	 1	      8966	    1.838
Region_0058	    574585	    583343	 1	      8759	    3.034
Region_0059	    584361	    584989	 1	       629	    5.000
Region_0060	    590480	    591048	 1	       569	    7.069
Region_0061	    594661	    596384	 1	      1724	    7.000
Region_0062	    596658	    596917	 1	       260	    7.000
Region_0063	    597176	    597811	 1	       636	    7.000
Region_0064	    599748	    600934	 1	      1187	    7.007
Region_0065	    601622	    602208	 1	       587	    8.000
Region_0066	    604585	    611010	 1	      6426	    8.141
Region_0067	    612677	    613424	 1	       748	    7.000
Region_0068	    613785	    623086	 1	      9302	    8.028
