Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641894	   1647081	 1	      1140	    2.000	1
GA10023-RB 	  15217666	  15235800	 5	     17153	    2.478	1
GA10034-RA 	  14270413	  14272210	 4	       334	    0.000	1
GA10035-RA 	  15180257	  15200528	 5	     18667	    2.650	1
GA10049-RA 	   3653388	   3653456	 3	        69	    5.000	1
GA10051-RB 	  14285438	  14289383	 4	      1510	    0.000	2
GA10056-RA 	  11841801	  11851461	11	      8124	    0.052	1
GA10057-RA 	   3019520	   3024489	 3	       966	    2.872	1
GA10058-RC 	  14294857	  14297933	 4	       644	    0.335	1
GA10075-RA 	   4385586	   4385725	 3	       140	    2.000	1
GA10076-RA 	   1184445	   1188907	 1	      3908	    5.002	1
GA10078-RB 	   4365484	   4368822	 3	      3105	    6.627	1
GA10079-RA 	   5002601	   5015657	 3	     11677	    2.812	1
GA10080-RA 	   5019421	   5020671	 3	       192	    2.313	1
GA10081-RB 	   5032025	   5032938	 3	       914	    2.027	1
GA10084-RA 	   5051169	   5113828	 3	     61283	    2.881	1
GA10086-RB 	   5102105	   5105488	 3	      1980	    2.498	1
GA10089-RA 	   5127050	   5131473	 3	       554	    3.978	1
GA10094-RB 	   5133713	   5135996	 3	      1455	    1.045	1
GA10096-RA 	   5154769	   5155114	 3	       134	    4.134	1
GA10097-RA 	   5167312	   5167367	 3	        56	    6.857	1
GA10105-RA 	   1865876	   1866947	 2	       191	    3.000	1
GA10106-RA 	   5199028	   5199090	 3	        63	    6.238	1
GA10108-RB 	   5213649	   5254229	 3	     39266	    4.926	1
GA10109-RA 	   5302422	   5302488	 3	        67	    1.000	1
GA10113-RB 	   5306272	   5308598	 3	       624	    1.631	1
GA10115-RA 	   5311136	   5311565	 3	       120	    1.933	1
GA10117-RA 	   5316890	   5321139	 3	      3747	    0.855	1
GA10120-RA 	   4880162	   4881230	 3	      1069	    5.658	1
GA10150-RA 	   4921324	   4922060	 3	       484	    4.463	1
GA10151-RA 	   4932292	   4932356	 3	        65	    3.431	1
GA10153-RA 	   4947837	   4948052	 3	       216	    3.000	1
GA10155-RA 	   4962997	   4964863	 3	       563	    2.904	1
GA10157-RA 	   4967064	   4967588	 3	       369	    4.179	1
GA10161-RA 	   4969794	   4972114	 3	       387	    4.873	1
GA10163-RA 	   2753410	   2753485	 3	        76	    0.000	1
GA10166-RA 	  17162677	  17164070	10	       223	    1.529	1
GA10183-RA 	  11103866	  11103929	 8	        64	    0.000	1
GA10189-RA 	  11113592	  11113654	 8	        63	    0.000	1
GA10190-RA 	  11115586	  11115648	 8	        63	    0.000	1
GA10197-RA 	  11153220	  11155684	 8	       248	    0.327	1
GA10198-RA 	  11159561	  11160251	 8	       328	    0.189	1
GA10204-RB 	  15632557	  15632612	 5	        56	    0.000	1
GA10235-RC 	   2954662	   2955369	 3	       123	    6.000	1
GA10239-RA 	  17685743	  17687172	 6	       245	    0.555	1
GA10241-RA 	   2973349	   2973541	 3	       193	    2.000	1
GA10242-RA 	   2988564	   2988628	 3	        65	    0.385	1
GA10254-RA 	  14509686	  14509797	 4	       112	    0.000	1
GA10260-RA 	  17482391	  17482457	 6	        67	    0.000	1
GA10289-RA 	  17430405	  17432257	10	       725	    0.000	1
GA10291-RF 	  17516310	  17525221	 6	      7535	    0.022	2
GA10297-RA 	     14986	     15042	 1	        57	    0.000	1
GA10315-RA 	  11901068	  11901539	11	       322	    0.214	1
GA10319-RA 	  11856767	  11866636	11	      9199	    0.003	1
GA10327-RA 	   2787287	   2787350	 3	        64	    3.422	1
GA10330-RA 	     24321	     69368	 1	     44478	    0.878	1
GA10355-RE 	  16648960	  16742942	10	     92971	    0.155	1
GA10359-RA 	   3645281	   3649550	 3	       700	    4.234	1
GA10372-RA 	   6868661	   6870190	13	      1128	    1.000	1
GA10376-RA 	   6866749	   6867311	13	       121	    0.000	1
GA10380-RA 	  13279707	  13280036	12	       161	    1.398	1
GA10384-RA 	   6851647	   6852095	13	       279	    0.380	1
GA10479-RA 	  10173658	  10174656	 8	       117	    0.000	1
GA10531-RT 	   7733544	   7739854	 7	      3900	    0.475	1
GA10543-RA 	   4800400	   4800592	 3	       114	    5.000	1
GA10563-RA 	   5834191	   5834250	 3	        60	    1.417	1
GA10564-RA 	  19401103	  19401162	14	        60	    6.000	1
GA10572-RA 	  16203885	  16205205	 9	       777	    0.000	1
GA10576-RA 	    645842	    645920	 1	        79	    3.000	1
GA10593-RE 	  11741624	  11761936	 8	      7585	    0.833	1
GA10623-RD 	   4656427	   4668965	 3	      2758	    3.213	1
GA10629-RA 	  14385531	  14385593	 4	        63	    2.000	1
GA10635-RA 	   6408797	   6408869	 3	        73	    1.000	1
GA10636-RA 	   6413391	   6413449	 3	        59	    1.000	1
GA10637-RA 	   6476606	   6476968	 3	       363	    2.011	1
GA10639-RB 	   6656681	   6657668	 3	       664	    1.741	1
GA10647-RA 	  14854898	  14860333	 4	      5436	    2.646	1
GA10653-RB 	   8529975	   8561137	 8	     26862	    0.247	1
GA10654-RA 	   4766937	   4766999	 3	        63	    6.000	1
GA10665-RA 	  17425598	  17427972	10	       268	    0.000	1
GA10679-RB 	  17483391	  17485006	 6	       342	    0.000	1
