Gene_Name	Beg	End	Region	Nuc	Mean_Cov
Region_0001	         1	     14930	 1	     14930	    1.158
Region_0002	     15966	     15985	 1	        20	    2.000
Region_0003	     16457	     23595	 1	      7139	    2.000
Region_0004	     69907	     70721	 1	       815	    2.721
Region_0005	     71441	     72446	 1	      1006	    3.000
Region_0006	     73916	     74163	 1	       248	    3.000
Region_0007	     77332	     78876	 1	      1545	    4.001
Region_0008	     79732	     81421	 1	      1690	    4.001
Region_0009	     81782	     83299	 1	      1518	    3.692
Region_0010	     84084	     89438	 1	      5355	    3.813
Region_0011	     91234	     92753	 1	      1520	    3.301
Region_0012	     93549	     93976	 1	       428	    4.000
Region_0013	     94627	     96655	 1	      2029	    3.674
Region_0014	     97393	    106731	 1	      9339	    3.675
Region_0015	    142999	    144387	 1	      1389	    1.000
Region_0016	    145273	    146847	 1	      1575	    1.000
Region_0017	    160462	    164136	 1	      3675	    1.121
Region_0018	    165295	    199039	 1	     33745	    2.399
Region_0019	    209895	    230513	 1	     20619	    0.611
Region_0020	    232666	    239269	 1	      6604	    0.000
Region_0021	    241360	    243332	 1	      1973	    0.000
Region_0022	    244878	    245760	 1	       883	    0.000
Region_0023	    246676	    247800	 1	      1125	    0.000
Region_0024	    249265	    249641	 1	       377	    0.000
Region_0025	    250085	    257476	 1	      7392	    0.172
Region_0026	    265610	    289507	 1	     23898	    3.000
Region_0027	    290045	    290138	 1	        94	    3.000
Region_0028	    292074	    292621	 1	       548	    3.000
Region_0029	    294930	    295201	 1	       272	    3.000
Region_0030	    297339	    310958	 1	     13620	    3.295
Region_0031	    352590	    356608	 1	      4019	    3.972
Region_0032	    357046	    357935	 1	       890	    4.879
Region_0033	    358705	    361337	 1	      2633	    3.130
Region_0034	    364812	    365535	 1	       724	    4.945
Region_0035	    367889	    376405	 1	      8517	    5.331
Region_0036	    377361	    377885	 1	       525	    8.000
Region_0037	    380178	    384452	 1	      4275	    7.922
Region_0038	    386508	    388944	 1	      2437	    8.087
Region_0039	    389525	    389595	 1	        71	    7.000
Region_0040	    390794	    391394	 1	       601	    6.634
Region_0041	    400022	    400894	 1	       873	    4.000
Region_0042	    401344	    401713	 1	       370	    4.000
Region_0043	    410327	    413337	 1	      3011	    6.000
Region_0044	    413739	    414227	 1	       489	    6.838
Region_0045	    414771	    416681	 1	      1911	    7.670
Region_0046	    419600	    426448	 1	      6849	    6.378
Region_0047	    427364	    427598	 1	       235	    6.000
Region_0048	    429744	    439876	 1	     10133	    5.583
Region_0049	    449124	    454785	 1	      5662	    2.759
Region_0050	    455836	    456555	 1	       720	    2.000
Region_0051	    457130	    459478	 1	      2349	    2.000
Region_0052	    461008	    462891	 1	      1884	    2.000
Region_0053	    467744	    468404	 1	       661	    2.000
Region_0054	    502040	    523964	 1	     21925	    0.000
Region_0055	    527495	    534179	 1	      6685	    1.591
Region_0056	    541679	    543584	 1	      1906	    1.000
Region_0057	    564122	    573087	 1	      8966	    2.955
Region_0058	    574585	    583343	 1	      8759	    3.875
Region_0059	    584361	    584989	 1	       629	    4.000
Region_0060	    590480	    591048	 1	       569	    4.000
Region_0061	    594661	    596384	 1	      1724	    4.000
Region_0062	    596658	    596917	 1	       260	    4.000
Region_0063	    597176	    597811	 1	       636	    4.000
Region_0064	    599748	    600934	 1	      1187	    5.174
Region_0065	    601622	    602208	 1	       587	    6.000
Region_0066	    604585	    611010	 1	      6426	    3.847
Region_0067	    612677	    613424	 1	       748	    4.000
Region_0068	    613785	    623086	 1	      9302	    3.003
Region_0069	    627294	    627651	 1	       358	    3.000
Region_0070	    631067	    642286	 1	     11220	    7.069
Region_0071	    642667	    644918	 1	      2252	    5.000
Region_0072	    646240	    662468	 1	     16229	    4.184
Region_0073	    675091	    696347	 1	     21257	    4.128
Region_0074	    696720	    708719	 1	     12000	    4.284
Region_0075	    709395	    730172	 1	     20778	    3.894
Region_0076	    731573	    732923	 1	      1351	    3.000
Region_0077	    734101	    757208	 1	     23108	    4.050
Region_0078	    769519	    772637	 1	      3119	    7.000
Region_0079	    776990	    779392	 1	      2403	    5.768
Region_0080	    780155	    783287	 1	      3133	    5.731
Region_0081	    785515	    790013	 1	      4499	    4.774
Region_0082	    790822	    797820	 1	      6999	    3.834
Region_0083	    798718	    799578	 1	       861	    4.000
Region_0084	    801691	    801859	 1	       169	    3.000
Region_0085	    802444	    802530	 1	        87	    2.000
Region_0086	    803349	    805031	 1	      1683	    2.007
Region_0087	    805790	    806023	 1	       234	    3.000
Region_0088	    806526	    806769	 1	       244	    2.000
Region_0089	    807225	    811604	 1	      4380	    2.336
Region_0090	    813458	    815198	 1	      1741	    4.379
Region_0091	    817365	    818114	 1	       750	    4.000
Region_0092	    818638	    818892	 1	       255	    4.000
Region_0093	    819687	    821018	 1	      1332	    3.227
Region_0094	    823002	    826125	 1	      3124	    3.007
Region_0095	    827304	    827398	 1	        95	    3.000
Region_0096	    828009	    830547	 1	      2539	    3.023
Region_0097	    833301	    836334	 1	      3034	    4.790
Region_0098	    837339	    838609	 1	      1271	    6.000
Region_0099	    843735	    846389	 1	      2655	    6.672
Region_0100	    847190	    847605	 1	       416	    5.000
Region_0101	    848997	    849562	 1	       566	    4.929
Region_0102	    850358	    851053	 1	       696	    4.000
Region_0103	    852495	    854918	 1	      2424	    4.000
Region_0104	    858598	    876236	 1	     17639	    2.867
Region_0105	    877516	    877961	 1	       446	    4.009
Region_0106	    878965	    903345	 1	     24381	    3.139
Region_0107	    906525	    907190	 1	       666	    2.740
Region_0108	    909118	    912763	 1	      3646	    2.144
Region_0109	    915466	    916612	 1	      1147	    1.000
Region_0110	    917238	    917708	 1	       471	    2.000
Region_0111	    918645	    923222	 1	      4578	    1.727
Region_0112	    955270	    966911	 1	     11642	    3.340
Region_0113	    968487	    970083	 1	      1597	    3.727
Region_0114	    971359	    971628	 1	       270	    1.000
Region_0115	    972079	    972313	 1	       235	    1.345
Region_0116	    972661	    977234	 1	      4574	    1.626
Region_0117	    982417	    994261	 1	     11845	    2.353
Region_0118	    998443	   1022959	 1	     24517	    0.792
Region_0119	   1027024	   1043715	 1	     16692	    2.414
Region_0120	   1046291	   1046709	 1	       419	    3.000
Region_0121	   1046845	   1047593	 1	       749	    4.363
Region_0122	   1051371	   1052038	 1	       668	    5.000
Region_0123	   1053586	   1053735	 1	       150	    5.400
Region_0124	   1055071	   1057892	 1	      2822	    4.820
Region_0125	   1059374	   1076363	 1	     16990	    2.597
Region_0126	   1087720	   1093444	 1	      5725	    1.023
Region_0127	   1094558	   1096208	 1	      1651	    2.000
Region_0128	   1134769	   1146561	 1	     11793	    2.537
Region_0129	   1148080	   1148399	 1	       320	    3.306
Region_0130	   1149161	   1151147	 1	      1987	    2.377
Region_0131	   1161237	   1162810	 1	      1574	    4.012
Region_0132	   1164614	   1166952	 1	      2339	    2.086
Region_0133	   1167673	   1168120	 1	       448	    3.000
Region_0134	   1170630	   1171838	 1	      1209	    2.963
Region_0135	   1172637	   1173238	 1	       602	    2.000
Region_0136	   1174979	   1175183	 1	       205	    1.000
Region_0137	   1175988	   1177027	 1	      1040	    2.082
Region_0138	   1178593	   1180151	 1	      1559	    3.003
Region_0139	   1181148	   1184384	 1	      3237	    3.250
Region_0140	   1188980	   1189939	 1	       960	    3.789
Region_0141	   1190533	   1190698	 1	       166	    4.000
Region_0142	   1193255	   1195532	 1	      2278	    3.437
Region_0143	   1197543	   1198834	 1	      1292	    2.934
Region_0144	   1202577	   1203429	 1	       853	    2.000
Region_0145	   1204487	   1205219	 1	       733	    1.231
Region_0146	   1206100	   1207050	 1	       951	    1.720
Region_0147	   1208378	   1209991	 1	      1614	    1.686
Region_0148	   1211427	   1211793	 1	       367	    5.000
Region_0149	   1213195	   1214735	 1	      1541	    3.132
Region_0150	   1216689	   1218291	 1	      1603	    2.000
Region_0151	   1219914	   1220828	 1	       915	    2.000
Region_0152	   1221789	   1222481	 1	       693	    2.000
Region_0153	   1224007	   1224098	 1	        92	    3.000
Region_0154	   1225035	   1225598	 1	       564	    2.000
Region_0155	   1228276	   1230781	 1	      2506	    1.147
Region_0156	   1231697	   1243116	 1	     11420	    1.003
Region_0157	   1243812	   1247167	 1	      3356	    0.077
Region_0158	   1248042	   1264088	 1	     16047	    2.276
Region_0159	   1265549	   1283989	 1	     18441	    5.090
Region_0160	   1305687	   1306463	 1	       777	    3.869
Region_0161	   1308176	   1324543	 1	     16368	    2.984
Region_0162	   1326520	   1327544	 1	      1025	    2.037
Region_0163	   1328909	   1329016	 1	       108	    2.000
Region_0164	   1329426	   1331992	 1	      2567	    1.481
Region_0165	   1333604	   1334006	 1	       403	    3.000
Region_0166	   1335421	   1336728	 1	      1308	    2.000
Region_0167	   1338342	   1353833	 1	     15492	    2.305
Region_0168	   1383655	   1394193	 1	     10539	    3.452
Region_0169	   1395752	   1399131	 1	      3380	    4.644
