Transcript	Beg	End
GA10297-RA 	14931	15965
GA15848-RA 	15986	16456
GA10330-RA 	23596	69906
GA24590-RC 	70722	71440
GA32996-RA 	72447	73915
GA15984-RA 	74164	77331
GA31014-RA 	78877	79731
GA31396-RA 	81422	81781
GA25598-RB 	83300	84083
GA15428-RA 	89439	91233
GA11952-RA 	92754	93548
GA24587-RA 	93977	94626
GA24591-RA 	96656	97392
GA15847-RE 	106732	142998
GA24593-RA 	144388	145272
GA24594-RA 	146848	160461
GA24586-RB 	164137	165294
GA10737-RA 	199040	209894
GA14468-RA 	230514	232665
GA14932-RA 	239270	241359
GA18965-RB 	243333	244877
GA10816-RA 	245761	246675
GA18393-RA 	247801	249264
GA24584-RB 	249642	250084
GA18963-RB 	257477	265609
GA11789-RA 	289508	290044
GA18958-RA 	290139	292073
GA18454-RA 	292622	294929
GA12362-RB 	295202	297338
GA24601-RD 	310959	352589
GA24583-RA 	356609	357045
GA21334-RA 	357936	358704
GA21216-RA 	361338	364811
GA21321-RA 	365536	367888
GA21314-RA 	376406	377360
GA21223-RB 	377886	380177
GA21235-RC 	384453	386507
GA30787-RA 	388945	389142
GA24581-RA 	389596	390793
GA11585-RA 	391395	400021
GA21054-RA 	400895	401343
GA21384-RA 	401714	410326
GA24603-RA 	413338	413738
GA24580-RA 	414228	414770
GA24579-RB 	416682	419599
GA24605-RA 	426449	427363
GA21078-RA 	427599	429743
GA13220-RB 	439877	449123
GA13224-RA 	454786	455835
GA24576-RA 	456556	457129
GA21290-RA 	459479	461007
GA20808-RC 	462892	467743
GA24574-RC 	468405	502039
GA24606-RA 	523965	527494
GA20821-RC 	534180	541678
GA15628-RO 	543585	564121
GA20825-RB 	573088	574584
GA20853-RA 	583344	584360
GA20854-RA 	584990	590479
GA20855-RA 	591049	594660
GA24607-RB 	596385	596657
GA20911-RA 	596918	597175
GA24609-RB 	597812	599747
GA24570-RA 	600935	601621
GA20914-RA 	602209	604584
GA24610-RA 	611011	612676
GA12505-RA 	613425	613784
GA25599-RA 	623087	627293
GA24611-RB 	627652	631066
GA24568-RB 	642287	642666
GA10576-RA 	644919	646239
GA32666-RA 	662469	675090
GA31802-RA 	696348	696719
GA24612-RA 	708720	709394
GA14294-RA 	730173	731572
GA18392-RA 	732924	734100
GA17177-RB 	757209	769518
GA14289-RC 	772638	776989
GA24565-RA 	779393	780154
GA18378-RC 	783288	785514
GA18362-RA 	790014	790821
GA18357-RA 	797821	798717
GA18446-RA 	799579	801690
GA24613-RA 	801860	802443
GA17610-RA 	802531	803348
GA17597-RA 	805032	805789
GA24564-RA 	806024	806525
GA15689-RA 	806770	807224
GA24561-RA 	811605	813457
GA13983-RA 	815199	817364
GA14018-RA 	818115	818637
GA21766-RA 	818893	819686
GA16581-RA 	821019	823001
GA17095-RA 	826126	827303
GA14426-RA 	827399	828008
GA15850-RA 	830548	833300
GA14019-RA 	836335	837338
GA15851-RA 	838610	843734
GA21774-RA 	846390	847189
GA17085-RA 	847606	848996
GA17429-RA 	849563	850357
GA17076-RA 	851054	852494
GA17432-RA 	854919	858597
GA21780-RA 	876237	877515
GA21782-RA 	877962	878964
GA17066-RA 	903346	906524
GA17055-RA 	907191	909117
GA17043-RE 	912764	915465
GA17439-RB 	916613	917237
GA21786-RA 	917709	918644
GA24555-RB 	923223	955269
GA24552-RA 	966912	968486
GA17170-RA 	970084	971358
GA13591-RA 	971629	972078
GA17459-RA 	972314	972660
GA17191-RB 	977235	982416
GA13590-RB 	994262	998442
GA21791-RB 	1022960	1027023
GA24550-RC 	1043716	1046290
GA32475-RA 	1046710	1046844
GA24549-RA 	1047594	1051370
GA21800-RC 	1052039	1053585
GA24617-RA 	1053736	1055070
GA24618-RA 	1057893	1059373
GA15685-RA 	1076364	1087719
GA17403-RA 	1093445	1094557
GA24548-RB 	1096209	1134768
GA24619-RA 	1128897	1129627
GA24620-RA 	1129851	1131557
GA24544-RA 	1146562	1148079
GA15684-RA 	1148400	1149160
GA24543-RB 	1151148	1161236
GA15683-RA 	1157186	1158481
GA14268-RC 	1162811	1164613
GA15686-RA 	1166953	1167672
GA15095-RA 	1168121	1170629
GA15688-RA 	1171839	1172636
GA11852-RA 	1173239	1174978
GA33038-RA 	1175184	1175987
GA11851-RA 	1177028	1178592
GA31067-RA 	1180152	1181147
GA10076-RA 	1184385	1188979
GA30648-RB 	1189940	1190532
GA31605-RA 	1190699	1193254
GA11850-RA 	1195533	1197542
GA11434-RA 	1198835	1202576
GA11849-RA 	1203430	1204486
GA24622-RA 	1205220	1206099
GA24623-RA 	1207051	1208377
GA11435-RA 	1209992	1211426
GA11847-RA 	1211794	1213194
GA11846-RA 	1214736	1216688
GA24625-RA 	1218292	1219913
GA11845-RA 	1220829	1221788
GA11844-RA 	1222482	1224006
GA18208-RA 	1224099	1225034
GA18187-RA 	1225599	1228275
GA11839-RA 	1230782	1231696
GA11842-RA 	1243117	1243811
GA11838-RA 	1247168	1248041
GA24542-RA 	1264089	1265548
GA11840-RA 	1283990	1305686
GA18217-RA 	1306464	1308175
GA24627-RA 	1324544	1326519
GA11452-RA 	1327545	1328908
GA31002-RA 	1329017	1329425
GA15033-RA 	1331993	1333603
GA15003-RA 	1334007	1335420
GA14995-RA 	1336729	1338341
GA10748-RC 	1353834	1383654
GA14981-RA 	1394194	1395751
GA14968-RA 	1399132	1400375
GA10750-RB 	1404852	1405334
GA14963-RB 	1416393	1418528
GA14940-RB 	1423837	1428393
GA24630-RA 	1430695	1433248
GA24631-RA 	1437551	1440091
GA10760-RA 	1445280	1460038
GA11448-RA 	1469378	1470827
GA14672-RJ 	1479849	1537033
GA14314-RA 	1543158	1547025
GA10763-RB 	1549657	1552783
GA14333-RA 	1553056	1555048
GA24539-RB 	1560892	1572290
GA24632-RB 	1598696	1599256
GA32958-RA 	1602912	1603716
GA31369-RA 	1603856	1604156
GA10770-RA 	1618456	1627963
GA10772-RA 	1631796	1633835
GA10773-RA 	1633981	1634608
GA15891-RA 	1635086	1635660
GA20489-RA 	1636072	1639962
GA10015-RB 	1641830	1647562
GA24537-RA 	1648547	1652980
GA18973-RA 	1654399	1655778
GA15695-RB 	1656204	1661306
GA24536-RE 	1688450	1689424
GA18977-RA 	1690951	1691683
GA18273-RA 	1695314	1697131
GA18980-RA 	1702268	1707430
GA10902-RA 	1709062	1710970
GA18500-RA 	1711222	1712560
GA10822-RA 	1718276	1719775
GA18997-RA 	1722202	1724192
GA10823-RA 	1724930	1725961
GA18999-RA 	1726535	1729136
GA10824-RA 	1729195	1730804
GA14600-RC 	1731317	1732747
GA18814-RA 	1733356	1734400
GA18992-RA 	1735211	1740165
GA12363-RB 	1740670	1741975
GA18808-RA 	1742347	1743726
GA18994-RF 	1747614	1755593
GA15470-RA 	1756227	1757665
GA17643-RB 	1760394	1763996
GA24634-RA 	1769925	1771495
GA15477-RB 	1775568	1778056
GA12366-RA 	1778396	1780434
GA32301-RA 	1782924	1783243
GA14145-RA 	1783924	1788303
GA17696-RB 	1788570	1789969
GA14149-RA 	1790757	1791530
GA21133-RA 	1812684	1814266
GA21137-RA 	1815073	1816230
GA12081-RA 	1816320	1817097
GA21354-RA 	1817857	1820249
GA17237-RA 	1820715	1820984
GA24635-RA 	1821304	1822476
GA11588-RA 	1822580	1823057
GA11798-RA 	1828100	1829119
GA18343-RA 	1829641	1832434
GA18348-RA 	1833743	1834647
GA13223-RA 	1835328	1835904
GA21229-RC 	1841221	1848417
GA24636-RA 	1852097	1854739
GA21502-RA 	1859370	1862587
GA10105-RA 	1865859	1867996
GA24638-RC 	1872402	1901130
GA15488-RA 	1878020	1879030
GA31129-RA 	1906322	1908042
GA24531-RA 	1911776	1914691
GA24528-RA 	1921832	1927046
GA17668-RA 	1931794	1932934
GA15469-RA 	1933324	1933853
GA15466-RA 	1934385	1935861
GA13987-RA 	1936885	1937610
GA17675-RA 	1938812	1939589
GA15463-RA 	1939746	1941451
GA11855-RA 	1943330	1947060
GA15456-RA 	1956131	1960707
GA15837-RB 	1962159	1963682
GA15451-RA 	1965300	1966308
GA17681-RA 	1968820	1969685
GA21727-RB 	1969893	1971558
GA15450-RA 	1973512	1975263
GA15449-RA 	1977711	1980510
GA17715-RA 	1991247	1993392
GA13959-RA 	1994644	2021423
GA20976-RA 	2025736	2027467
GA18638-RA 	2028045	2031694
GA15796-RA 	2033407	2033937
GA15282-RA 	2034368	2037130
GA32213-RD 	2037979	2040265
GA15287-RA 	2040891	2042532
GA11026-RA 	2043218	2045301
GA24523-RA 	2045505	2046128
GA24641-RB 	2047944	2103025
GA24522-RA 	2083370	2084224
GA24521-RA 	2106687	2107112
GA21268-RA 	2108068	2110921
GA21269-RA 	2115998	2117602
GA13228-RA 	2130220	2131946
GA11420-RA 	2135504	2135779
GA15798-RA 	2136068	2136805
GA15797-RA 	2137774	2139143
GA15794-RA 	2139340	2140737
GA24643-RA 	2146549	2149145
GA24646-RB 	2219268	2263625
GA15789-RA 	2235390	2236196
GA15259-RA 	2238421	2239200
GA21267-RA 	2239604	2240335
GA15255-RD 	2267499	2271054
GA15197-RA 	2288479	2295505
GA24514-RA 	2299085	2299570
GA21266-RB 	2301273	2301638
GA24647-RA 	2302997	2303403
GA15201-RA 	2304624	2305025
GA15249-RA 	2306004	2309293
GA15214-RA 	2311297	2313579
GA24648-RA 	2314197	2316217
GA24649-RA 	2317150	2318971
GA24513-RA 	2319253	2321118
GA21263-RA 	2323345	2325155
GA21264-RA 	2325666	2327597
GA24650-RA 	2328484	2330474
GA24651-RA 	2331293	2333469
GA15787-RA 	2333616	2335552
GA24512-RA 	2338225	2339848
GA21261-RA 	2340555	2342526
GA24510-RC 	2343967	2387331
GA11807-RA 	2411759	2412112
GA24653-RA 	2425240	2427058
GA22108-RA 	2437811	2439141
GA15541-RA 	2475665	2477296
GA24654-RB 	2486741	2490422
GA22106-RA 	2490766	2491344
GA22104-RA 	2491518	2492917
GA13487-RB 	2494939	2500358
GA13475-RC 	2505754	2508043
GA13488-RB 	2508675	2511990
GA13476-RB 	2516704	2519413
GA24507-RA 	2519975	2521002
GA13477-RA 	2522079	2523031
GA13490-RA 	2523408	2532309
GA13491-RA 	2534045	2537465
GA24655-RB 	2537879	2538729
GA17849-RA 	2539136	2541551
GA18293-RA 	2543134	2545346
GA18915-RA 	2547244	2548744
GA13759-RA 	2549579	2550806
GA15096-RA 	2552041	2553622
GA13769-RA 	2554498	2556381
GA15112-RB 	2557104	2559735
GA13787-RA 	2561901	2564881
GA15135-RA 	2565680	2572560
GA11836-RA 	2573901	2574521
GA24505-RB 	2579775	2580435
GA24656-RB 	2585262	2586914
GA15884-RA 	2591837	2632351
GA15091-RA 	2644880	2652897
GA15142-RA 	2655552	2656952
GA15871-RC 	2662828	2692718
