IG_Region	Beg	End
Region_0001	       1	   14930
Region_0002	   15966	   15985
Region_0003	   16457	   23595
Region_0004	   69907	   70721
Region_0005	   71441	   72446
Region_0006	   73916	   74163
Region_0007	   77332	   78876
Region_0008	   79732	   81421
Region_0009	   81782	   83299
Region_0010	   84084	   89438
Region_0011	   91234	   92753
Region_0012	   93549	   93976
Region_0013	   94627	   96655
Region_0014	   97393	  106731
Region_0015	  142999	  144387
Region_0016	  145273	  146847
Region_0017	  160462	  164136
Region_0018	  165295	  199039
Region_0019	  209895	  230513
Region_0020	  232666	  239269
Region_0021	  241360	  243332
Region_0022	  244878	  245760
Region_0023	  246676	  247800
Region_0024	  249265	  249641
Region_0025	  250085	  257476
Region_0026	  265610	  289507
Region_0027	  290045	  290138
Region_0028	  292074	  292621
Region_0029	  294930	  295201
Region_0030	  297339	  310958
Region_0031	  352590	  356608
Region_0032	  357046	  357935
Region_0033	  358705	  361337
Region_0034	  364812	  365535
Region_0035	  367889	  376405
Region_0036	  377361	  377885
Region_0037	  380178	  384452
Region_0038	  386508	  388944
Region_0039	  389525	  389595
Region_0040	  390794	  391394
Region_0041	  400022	  400894
Region_0042	  401344	  401713
Region_0043	  410327	  413337
Region_0044	  413739	  414227
Region_0045	  414771	  416681
Region_0046	  419600	  426448
Region_0047	  427364	  427598
Region_0048	  429744	  439876
Region_0049	  449124	  454785
Region_0050	  455836	  456555
Region_0051	  457130	  459478
Region_0052	  461008	  462891
Region_0053	  467744	  468404
Region_0054	  502040	  523964
Region_0055	  527495	  534179
Region_0056	  541679	  543584
Region_0057	  564122	  573087
Region_0058	  574585	  583343
Region_0059	  584361	  584989
Region_0060	  590480	  591048
Region_0061	  594661	  596384
Region_0062	  596658	  596917
Region_0063	  597176	  597811
Region_0064	  599748	  600934
Region_0065	  601622	  602208
Region_0066	  604585	  611010
Region_0067	  612677	  613424
Region_0068	  613785	  623086
Region_0069	  627294	  627651
Region_0070	  631067	  642286
Region_0071	  642667	  644918
Region_0072	  646240	  662468
Region_0073	  675091	  696347
Region_0074	  696720	  708719
Region_0075	  709395	  730172
Region_0076	  731573	  732923
Region_0077	  734101	  757208
Region_0078	  769519	  772637
Region_0079	  776990	  779392
Region_0080	  780155	  783287
Region_0081	  785515	  790013
Region_0082	  790822	  797820
Region_0083	  798718	  799578
Region_0084	  801691	  801859
Region_0085	  802444	  802530
Region_0086	  803349	  805031
Region_0087	  805790	  806023
Region_0088	  806526	  806769
Region_0089	  807225	  811604
Region_0090	  813458	  815198
Region_0091	  817365	  818114
Region_0092	  818638	  818892
Region_0093	  819687	  821018
Region_0094	  823002	  826125
Region_0095	  827304	  827398
Region_0096	  828009	  830547
Region_0097	  833301	  836334
Region_0098	  837339	  838609
Region_0099	  843735	  846389
Region_0100	  847190	  847605
Region_0101	  848997	  849562
Region_0102	  850358	  851053
Region_0103	  852495	  854918
Region_0104	  858598	  876236
Region_0105	  877516	  877961
Region_0106	  878965	  903345
Region_0107	  906525	  907190
Region_0108	  909118	  912763
Region_0109	  915466	  916612
Region_0110	  917238	  917708
Region_0111	  918645	  923222
Region_0112	  955270	  966911
Region_0113	  968487	  970083
Region_0114	  971359	  971628
Region_0115	  972079	  972313
Region_0116	  972661	  977234
Region_0117	  982417	  994261
Region_0118	  998443	 1022959
Region_0119	 1027024	 1043715
Region_0120	 1046291	 1046709
Region_0121	 1046845	 1047593
Region_0122	 1051371	 1052038
Region_0123	 1053586	 1053735
Region_0124	 1055071	 1057892
Region_0125	 1059374	 1076363
Region_0126	 1087720	 1093444
Region_0127	 1094558	 1096208
Region_0128	 1134769	 1146561
Region_0129	 1148080	 1148399
Region_0130	 1149161	 1151147
Region_0131	 1161237	 1162810
Region_0132	 1164614	 1166952
Region_0133	 1167673	 1168120
Region_0134	 1170630	 1171838
Region_0135	 1172637	 1173238
Region_0136	 1174979	 1175183
Region_0137	 1175988	 1177027
Region_0138	 1178593	 1180151
Region_0139	 1181148	 1184384
Region_0140	 1188980	 1189939
Region_0141	 1190533	 1190698
Region_0142	 1193255	 1195532
Region_0143	 1197543	 1198834
Region_0144	 1202577	 1203429
Region_0145	 1204487	 1205219
Region_0146	 1206100	 1207050
Region_0147	 1208378	 1209991
Region_0148	 1211427	 1211793
Region_0149	 1213195	 1214735
Region_0150	 1216689	 1218291
Region_0151	 1219914	 1220828
Region_0152	 1221789	 1222481
Region_0153	 1224007	 1224098
Region_0154	 1225035	 1225598
Region_0155	 1228276	 1230781
Region_0156	 1231697	 1243116
Region_0157	 1243812	 1247167
Region_0158	 1248042	 1264088
Region_0159	 1265549	 1283989
Region_0160	 1305687	 1306463
Region_0161	 1308176	 1324543
Region_0162	 1326520	 1327544
Region_0163	 1328909	 1329016
Region_0164	 1329426	 1331992
Region_0165	 1333604	 1334006
Region_0166	 1335421	 1336728
Region_0167	 1338342	 1353833
Region_0168	 1383655	 1394193
Region_0169	 1395752	 1399131
Region_0170	 1400376	 1404851
Region_0171	 1405335	 1416392
Region_0172	 1418529	 1423836
Region_0173	 1428394	 1430694
Region_0174	 1433249	 1437550
Region_0175	 1440092	 1445279
Region_0176	 1460039	 1469377
Region_0177	 1470828	 1479848
Region_0178	 1537034	 1543157
Region_0179	 1547026	 1549656
Region_0180	 1552784	 1553055
Region_0181	 1555049	 1560891
Region_0182	 1572291	 1598695
Region_0183	 1599257	 1602911
Region_0184	 1603717	 1603855
Region_0185	 1604157	 1618455
Region_0186	 1627964	 1631795
Region_0187	 1633836	 1633980
Region_0188	 1634609	 1635085
