Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641830	   1647562	 1	      4593	    5.026	1
GA10023-RB 	   8369261	   8387661	 5	      1248	    0.000	1
GA10034-RA 	   7421353	   7424287	 4	      2601	    0.000	1
GA10035-RA 	   8331101	   8352533	 5	      2766	    0.000	2
GA10049-RA 	   3653286	   3653585	 3	       231	    4.000	1
GA10051-RB 	   7436956	   7441171	 4	      2706	    0.642	1
GA10056-RA 	  15720314	  15732757	11	      4320	    0.075	1
GA10057-RA 	   3019209	   3024872	 3	      4698	    5.611	1
GA10058-RC 	   7446462	   7449721	 4	      2616	    0.000	1
GA10074-RA 	   4399706	   4400905	 3	      1200	    7.639	1
GA10075-RA 	   4384134	   4386010	 3	      1737	    5.361	1
GA10076-RA 	   1184385	   1188979	 1	       687	    3.087	1
GA10078-RB 	   4364803	   4369749	 3	      1842	    3.630	1
GA10079-RA 	   5002388	   5015774	 3	      1710	    2.505	1
GA10080-RA 	   5016934	   5021505	 3	      4380	    4.566	1
GA10081-RB 	   5031659	   5032962	 3	       390	    3.408	1
GA10084-RA 	   5050357	   5113937	 3	      2298	    4.195	1
GA10086-RB 	   5101984	   5105889	 3	      1926	    2.743	1
GA10089-RA 	   5126707	   5132204	 3	      4944	    5.292	1
GA10094-RB 	   5133687	   5135999	 3	       858	    4.605	1
GA10096-RA 	   5154766	   5155202	 3	       303	    4.000	1
GA10097-RA 	   5166892	   5167904	 3	       957	    5.385	1
GA10102-RA 	  15499660	  15500688	10	      1029	    0.033	1
GA10105-RA 	   1865859	   1867996	 2	      1947	    7.000	1
GA10106-RA 	   5198404	   5200062	 3	      1596	    5.590	1
GA10108-RB 	   5213630	   5254707	 3	      1812	    2.909	1
GA10109-RA 	   5302117	   5302894	 3	       711	    3.120	1
GA10113-RB 	   5305844	   5308609	 3	      2142	    2.609	1
GA10115-RA 	   5311037	   5311741	 3	       585	    0.145	1
GA10117-RA 	   5315787	   5321159	 3	      1626	    2.897	1
GA10120-RA 	   4879918	   4881823	 3	       837	    5.000	1
GA10150-RA 	   4921263	   4922313	 3	       567	    1.136	1
GA10151-RA 	   4931321	   4933275	 3	      1890	    2.969	1
GA10153-RA 	   4947813	   4948703	 3	       675	    4.119	1
GA10155-RA 	   4962709	   4964873	 3	      1602	    5.208	1
GA10157-RA 	   4965594	   4967591	 3	      1629	    4.796	1
GA10161-RA 	   4968350	   4972282	 3	      3546	    3.098	1
GA10163-RA 	   2752816	   2753674	 3	       783	    2.438	1
GA10166-RA 	  15136683	  15138369	10	      1464	    0.816	1
GA10183-RA 	  13265612	  13267172	 8	      1497	    0.050	1
GA10189-RA 	  13275985	  13277568	 8	      1521	    0.000	1
GA10190-RA 	  13277982	  13279559	 8	      1515	    0.086	1
GA10197-RA 	  13315879	  13318673	 8	      2547	    0.190	1
GA10198-RA 	  13322235	  13323255	 8	       693	    1.407	1
GA10204-RB 	   8783409	   8784478	 5	      1014	    0.243	1
GA10235-RC 	   2954410	   2955549	 3	      1017	    7.307	1
GA10239-RA 	   9120659	   9122835	 6	      1932	    2.910	1
GA10241-RA 	   2972440	   2973583	 3	       951	   10.000	1
GA10242-RA 	   2988374	   2988756	 3	       318	    3.403	1
GA10243-RA 	   3012447	   3015041	 3	      2595	    5.000	1
GA10254-RA 	   7659912	   7661838	 4	      1815	    0.084	1
GA10260-RA 	   8917365	   8918289	 6	       858	    0.241	1
GA10289-RA 	  14868535	  14870771	10	      1512	    0.000	1
GA10291-RF 	   8951629	   8960936	 6	      1773	    0.000	2
GA10297-RA 	     14931	     15965	 1	       978	    4.000	1
