Transcript	Intron_No	Beg	End
GA10015-RB 	 1	 1641894	 1641954	1
GA10015-RB 	 2	 1642401	 1642464	1
GA10015-RB 	 3	 1642740	 1642800	1
GA10015-RB 	 4	 1642911	 1642971	1
GA10015-RB 	 5	 1643208	 1643263	1
GA10015-RB 	 6	 1643760	 1643821	1
GA10015-RB 	 7	 1643955	 1644022	1
GA10015-RB 	 8	 1644156	 1644217	1
GA10015-RB 	 9	 1644282	 1644345	1
GA10015-RB 	10	 1644427	 1644487	1
GA10015-RB 	11	 1644693	 1644754	1
GA10015-RB 	12	 1644895	 1644963	1
GA10015-RB 	13	 1646037	 1646237	1
GA10015-RB 	14	 1646328	 1646383	1
GA10015-RB 	15	 1646839	 1646908	1
GA10015-RB 	16	 1647020	 1647081	1
GA10023-RB 	 1	15217666	15223410	1
GA10023-RB 	 2	15223677	15224199	1
GA10023-RB 	 3	15224356	15234288	1
GA10023-RB 	 4	15234494	15234594	1
GA10023-RB 	 5	15234721	15235387	1
GA10023-RB 	 6	15235555	15235618	1
GA10023-RB 	 7	15235681	15235800	1
GA10034-RA 	 1	14270413	14270489	1
GA10034-RA 	 2	14271422	14271482	1
GA10034-RA 	 3	14271668	14271727	1
GA10034-RA 	 4	14271872	14271929	1
GA10034-RA 	 5	14272133	14272210	1
GA10035-RA 	 1	15180257	15180313	1
GA10035-RA 	 2	15180480	15193449	1
GA10035-RA 	 3	15193617	15193698	1
GA10035-RA 	 4	15194839	15199610	1
GA10035-RA 	 5	15199743	15200528	1
GA10049-RA 	 1	 3653388	 3653456	1
GA10051-RB 	 1	14285438	14286424	2
GA10051-RB 	 2	14287114	14287182	2
GA10051-RB 	 3	14287268	14287333	2
GA10051-RB 	 4	14287455	14287531	2
GA10051-RB 	 5	14287687	14287743	2
GA10051-RB 	 6	14288128	14288189	2
GA10051-RB 	 7	14288556	14288611	2
GA10051-RB 	 8	14288759	14288824	2
GA10051-RB 	 9	14289314	14289383	2
GA10056-RA 	 1	11841801	11849717	1
GA10056-RA 	 2	11849941	11850004	1
GA10056-RA 	 3	11851186	11851253	1
GA10056-RA 	 4	11851387	11851461	1
GA10057-RA 	 1	 3019520	 3019593	1
GA10057-RA 	 2	 3019655	 3020081	1
GA10057-RA 	 3	 3020445	 3020516	1
GA10057-RA 	 4	 3020615	 3020675	1
GA10057-RA 	 5	 3020797	 3020868	1
GA10057-RA 	 6	 3022993	 3023058	1
GA10057-RA 	 7	 3023332	 3023401	1
GA10057-RA 	 8	 3024215	 3024275	1
GA10057-RA 	 9	 3024427	 3024489	1
GA10058-RC 	 1	14294857	14294925	1
GA10058-RC 	 2	14295609	14295674	1
GA10058-RC 	 3	14295760	14295828	1
GA10058-RC 	 4	14295950	14296020	1
GA10058-RC 	 5	14296176	14296232	1
GA10058-RC 	 6	14296617	14296673	1
