Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641894	   1647081	 1	      1140	    5.043	1
GA10023-RB 	   8369292	   8387426	 5	     17153	    0.063	1
GA10034-RA 	   7422039	   7423836	 4	       334	    0.000	1
GA10035-RA 	   8331883	   8352154	 5	     18667	    0.119	2
GA10049-RA 	   3653388	   3653456	 3	        69	    4.000	1
GA10051-RB 	   7437064	   7441009	 4	      1510	    0.769	1
GA10056-RA 	  15720639	  15730299	11	      8124	    0.101	1
GA10057-RA 	   3019520	   3024489	 3	       966	    5.266	1
GA10058-RC 	   7446483	   7449559	 4	       644	    0.000	1
GA10075-RA 	   4385586	   4385725	 3	       140	    5.000	1
GA10076-RA 	   1184445	   1188907	 1	      3908	    3.373	1
GA10078-RB 	   4365484	   4368822	 3	      3105	    3.317	1
GA10079-RA 	   5002601	   5015657	 3	     11677	    1.719	1
GA10080-RA 	   5019421	   5020671	 3	       192	    5.396	1
GA10081-RB 	   5032025	   5032938	 3	       914	    4.626	1
GA10084-RA 	   5051169	   5113828	 3	     61283	    3.723	1
GA10086-RB 	   5102105	   5105488	 3	      1980	    2.487	1
GA10089-RA 	   5127050	   5131473	 3	       554	    5.691	1
GA10094-RB 	   5133713	   5135996	 3	      1455	    6.405	1
GA10096-RA 	   5154769	   5155114	 3	       134	    4.000	1
GA10097-RA 	   5167312	   5167367	 3	        56	    5.161	1
GA10105-RA 	   1865876	   1866947	 2	       191	    7.000	1
GA10106-RA 	   5199028	   5199090	 3	        63	    6.000	1
GA10108-RB 	   5213649	   5254229	 3	     39266	    2.907	1
GA10109-RA 	   5302422	   5302488	 3	        67	    3.000	1
GA10113-RB 	   5306272	   5308598	 3	       624	    3.208	1
GA10115-RA 	   5311136	   5311565	 3	       120	    0.550	1
GA10117-RA 	   5316890	   5321139	 3	      3747	    1.805	1
GA10120-RA 	   4880162	   4881230	 3	      1069	    5.001	1
GA10150-RA 	   4921324	   4922060	 3	       484	    0.643	1
GA10151-RA 	   4932292	   4932356	 3	        65	    3.000	1
GA10153-RA 	   4947837	   4948052	 3	       216	    5.000	1
GA10155-RA 	   4962997	   4964863	 3	       563	    5.563	1
GA10157-RA 	   4967064	   4967588	 3	       369	    3.474	1
GA10161-RA 	   4969794	   4972114	 3	       387	    3.000	1
GA10163-RA 	   2753410	   2753485	 3	        76	    3.000	1
GA10166-RA 	  15136922	  15138315	10	       223	    1.350	1
GA10183-RA 	  13266678	  13266741	 8	        64	    0.000	1
GA10189-RA 	  13276404	  13276466	 8	        63	    0.000	1
GA10190-RA 	  13278398	  13278460	 8	        63	    0.000	1
GA10197-RA 	  13316032	  13318496	 8	       248	    0.048	1
GA10198-RA 	  13322373	  13323063	 8	       328	    2.152	1
GA10204-RB 	   8784183	   8784238	 5	        56	    0.071	1
GA10235-RC 	   2954662	   2955369	 3	       123	    7.569	1
GA10239-RA 	   9121343	   9122772	 6	       245	    1.200	1
GA10241-RA 	   2973349	   2973541	 3	       193	   10.000	1
GA10242-RA 	   2988564	   2988628	 3	        65	    3.708	1
GA10254-RA 	   7661312	   7661423	 4	       112	    0.000	1
GA10260-RA 	   8917991	   8918057	 6	        67	    1.000	1
GA10289-RA 	  14868735	  14870587	10	       725	    0.000	1
GA10291-RF 	   8951910	   8960821	 6	      7535	    0.000	2
GA10297-RA 	     14986	     15042	 1	        57	    4.000	1
GA10315-RA 	  15779906	  15780377	11	       322	    0.481	1
GA10319-RA 	  15735605	  15745474	11	      9199	    0.650	1
GA10327-RA 	   2787287	   2787350	 3	        64	   11.313	1
GA10330-RA 	     24321	     69368	 1	     44478	    4.895	1
GA10355-RE 	  15558050	  15652032	10	     92971	    0.281	1
GA10359-RA 	   3645281	   3649550	 3	       700	    4.227	1
GA10372-RA 	  17595873	  17597402	13	      1128	    1.049	1
GA10376-RA 	  17593961	  17594523	13	       121	    0.190	1
GA10380-RA 	  17158545	  17158874	12	       161	    1.820	1
GA10384-RA 	  17578859	  17579307	13	       279	    2.659	1
GA10479-RA 	  12336470	  12337468	 8	       117	    0.479	1
GA10531-RT 	   9896356	   9902666	 7	      3900	    0.078	1
GA10543-RA 	   4800400	   4800592	 3	       114	    2.000	1
GA10563-RA 	   5834191	   5834250	 3	        60	    2.000	1
GA10564-RA 	  19401103	  19401162	14	        60	   15.000	1
GA10572-RA 	  14379761	  14381081	 9	       777	    0.000	1
GA10576-RA 	    645842	    645920	 1	        79	    9.000	1
GA10593-RE 	  13904436	  13924748	 8	      7585	    0.390	1
GA10623-RD 	   4656427	   4668965	 3	      2758	    3.163	1
GA10629-RA 	   7537157	   7537219	 4	        63	    2.000	1
GA10635-RA 	   6408797	   6408869	 3	        73	    0.000	1
GA10636-RA 	   6413391	   6413449	 3	        59	    1.000	1
GA10637-RA 	   6476606	   6476968	 3	       363	    0.000	1
GA10639-RB 	   6656681	   6657668	 3	       664	    0.000	1
GA10647-RA 	   8006524	   8011959	 4	      5436	    0.821	1
GA10653-RB 	  10692787	  10723949	 8	     26862	    0.827	1
GA10654-RA 	   4766937	   4766999	 3	        63	    3.000	1
GA10665-RA 	  14873020	  14875394	10	       268	    0.000	1
GA10679-RB 	   8918991	   8920606	 6	       342	    0.243	1
GA10702-RA 	  10004572	  10004850	 7	       208	    0.000	1
GA10710-RB 	  12683068	  12683122	 8	        55	    0.000	1
GA10723-RA 	  13170019	  13175336	 8	      4822	    0.407	1
GA10726-RA 	  17733339	  17735113	14	       182	    1.747	1
GA10731-RA 	   9149323	   9149587	 6	       139	    0.000	1
GA10733-RB 	  19351080	  19352833	14	       212	   13.000	1
GA10737-RA 	    199373	    209601	 1	      8863	    4.145	1
GA10744-RB 	  19382146	  19389088	14	      4129	   16.014	1
GA10745-RB 	   4994242	   4994641	 3	       144	    2.000	1
GA10748-RC 	   1354088	   1381713	 1	     26572	    6.766	1
GA10758-RA 	  17737186	  17738219	14	       391	    1.532	1
GA10760-RA 	   1445494	   1459837	 1	     10583	    3.298	1
GA10763-RB 	   1549710	   1552655	 1	       907	    1.067	1
GA10765-RA 	   8622134	   8622195	 5	        62	    0.000	1
GA10770-RA 	   1618816	   1627545	 1	      8230	    3.907	1
GA10772-RA 	   1631986	   1632039	 1	        54	    3.000	1
GA10773-RA 	   1634283	   1634349	 1	        67	    3.000	1
GA10774-RA 	   6702474	   6703641	 3	       244	    0.000	1
GA10776-RC 	  12396487	  12396667	 8	       181	    2.431	1
GA10782-RA 	   8618073	   8619448	 5	       241	    0.788	1
GA10784-RB 	   8604242	   8616452	 5	     10384	    0.161	2
GA10787-RA 	  12393580	  12394792	 8	       263	    0.000	1
GA10789-RA 	   6690568	   6692168	 3	       237	    1.080	1
GA10804-RB 	   8607240	   8607467	 5	       139	    0.000	2
GA10814-RC 	  19289964	  19290144	14	       181	    4.000	1
GA10816-RA 	    246023	    246094	 1	        72	    2.000	1
GA10817-RB 	   8634548	   8635501	 5	       714	    0.000	1
GA10822-RA 	   1718462	   1719501	 1	       849	    3.296	1
GA10824-RA 	   1729453	   1729517	 1	        65	    4.000	1
GA10828-RA 	   5522308	   5522506	 3	       199	    2.000	1
GA10830-RB 	   5516281	   5518033	 3	      1005	    2.380	1
GA10831-RA 	   5515048	   5515105	 3	        58	    3.448	1
GA10832-RA 	   5494798	   5505393	 3	      3217	    3.113	1
GA10835-RC 	   9853953	   9855391	 7	       949	    0.888	1
GA10839-RA 	   8707820	   8707885	 5	        66	    0.000	1
GA10840-RD 	  14903289	  14913701	10	      7446	    0.126	1
GA10842-RA 	  17730140	  17732360	14	       785	    2.800	1
GA10844-RA 	   7816945	   7817000	 4	        56	    1.000	1
GA10845-RA 	  17999475	  17999710	14	       127	    1.000	1
GA10849-RA 	  12752581	  12752641	 8	        61	    1.213	1
GA10852-RA 	   6572855	   6572918	 3	        64	    2.000	1
GA10856-RA 	   6564567	   6568911	 3	       511	    0.626	1
GA10860-RA 	   6482642	   6483348	 3	       216	    2.880	1
GA10870-RA 	   2792336	   2792401	 3	        66	   10.000	1
GA10893-RB 	   7684178	   7691172	 4	       891	    0.070	1
GA10895-RB 	   9431046	   9431522	 7	       241	    0.000	1
GA10897-RA 	   9415476	   9415836	 7	       361	    8.083	1
GA10899-RC 	   9383042	   9387007	 7	      2700	    0.083	1
GA10901-RA 	  14837276	  14837333	10	        58	    1.000	1
GA10902-RA 	   1709194	   1710730	 1	       961	    2.000	1
GA10909-RA 	   8446824	   8449152	 5	       541	    0.000	1
GA10982-RA 	  18586364	  18589886	14	      3279	    3.249	1
GA10988-RA 	  17255161	  17257595	12	       305	    2.000	1
GA10990-RC 	  17252405	  17254319	12	       172	    2.000	1
GA10993-RA 	   4859219	   4859278	 3	        60	    3.000	1
GA11023-RA 	  15534211	  15535588	10	       308	    1.084	1
GA11026-RA 	   2044035	   2044090	 2	        56	    2.000	1
GA11141-RA 	  11709991	  11712200	 8	       689	    0.313	1
GA11181-RA 	  16240381	  16241180	11	       387	    2.364	1
GA11183-RC 	  16282617	  16285072	11	       926	    0.324	1
GA11192-RB 	  16249879	  16250243	11	       128	    1.125	1
GA11193-RB 	   9687417	   9689304	 7	       316	    0.000	1
GA11198-RA 	   9732374	   9732558	 7	       136	    1.000	1
GA11199-RA 	   9833701	   9834950	 7	       110	    1.391	1
GA11204-RA 	  12746713	  12746780	 8	        68	    0.000	1
GA11205-RD 	   8896125	   8899159	 5	       945	    0.476	1
GA11210-RA 	  13997652	  13999258	 9	       338	    0.000	1
GA11211-RB 	   5400483	   5402687	 3	      1109	    3.621	1
GA11212-RA 	   5387160	   5387225	 3	        66	    1.000	1
GA11246-RA 	  12122975	  12124612	 8	       882	    0.000	1
GA11258-RE 	  16109633	  16112874	11	       884	    1.379	1
GA11261-RA 	  16102069	  16104504	11	       295	    1.536	1
GA11265-RB 	  16045824	  16058031	11	      2898	    0.451	1
GA11272-RC 	  10001485	  10003037	 7	       309	    0.324	1
GA11291-RH 	   9961743	   9969367	 7	      2711	    0.313	1
GA11297-RB 	   7414044	   7418635	 4	      1973	    1.687	1
GA11400-RA 	   6555837	   6556086	 3	       146	    2.000	1
GA11404-RA 	  18079627	  18087480	14	      3943	    3.017	1
GA11422-RA 	   6137855	   6137927	 3	        73	    1.000	1
GA11423-RA 	   6139062	   6139586	 3	       163	    1.288	1
GA11425-RB 	  10922868	  10925232	 8	       924	    0.708	1
GA11426-RA 	  10919068	  10920279	 8	       568	    1.706	1
GA11428-RA 	  10917055	  10918131	 8	       104	    1.423	1
GA11432-RA 	  10978972	  10980634	 8	       414	    1.087	1
GA11434-RA 	   1198895	   1202495	 1	      3085	    1.111	1
GA11435-RA 	   1210058	   1211333	 1	       751	    2.923	1
GA11444-RA 	  13403528	  13403608	 8	        81	    0.000	1
GA11448-RA 	   1469399	   1470572	 1	       460	    3.813	1
GA11452-RA 	   1327564	   1328783	 1	       191	    4.120	1
GA11466-RA 	   4041084	   4041294	 3	       211	    6.000	1
GA11480-RD 	   6976319	   6977983	 4	      1333	    3.127	1
GA11509-RA 	   6671793	   6672334	 3	       128	    0.000	1
GA11510-RA 	  17248787	  17251397	12	       479	    2.405	1
GA11517-RA 	  11575356	  11578575	 8	       319	    0.740	1
GA11538-RE 	  14406448	  14418044	 9	      8014	    0.018	1
GA11556-RA 	  15942502	  15942562	11	        61	    1.541	1
GA11557-RA 	  15935509	  15938989	11	       854	    1.199	1
GA11563-RA 	  16034823	  16035301	11	       209	    0.000	1
GA11567-RA 	  15944332	  15944834	11	       116	    1.000	1
GA11569-RG 	  15928891	  15934568	11	      4280	    0.644	1
GA11571-RA 	   7954727	   7954790	 4	        64	    2.000	1
GA11576-RA 	  13542833	  13543341	 8	       185	    0.627	1
GA11584-RA 	   2749660	   2749723	 3	        64	    0.688	1
GA11585-RA 	    391620	    399264	 1	      7475	   10.293	1
GA11586-RA 	  14037177	  14046784	 9	      9608	    0.145	1
GA11587-RC 	  17310066	  17313803	12	      2593	    2.310	1
GA11588-RA 	   1822699	   1822988	 2	       127	    1.000	1
GA11590-RA 	  14700509	  14701598	 9	       180	    0.000	1
