Gene_Name	Beg	End	Region	Nuc	Mean_Cov
Region_0001	         1	     14930	 1	     14930	    0.000
Region_0002	     15966	     15985	 1	        20	    0.000
Region_0003	     16457	     23595	 1	      7139	    0.000
Region_0004	     69907	     70721	 1	       815	    0.000
Region_0005	     71441	     72446	 1	      1006	    0.000
Region_0006	     73916	     74163	 1	       248	    0.000
Region_0007	     77332	     78876	 1	      1545	    0.000
Region_0008	     79732	     81421	 1	      1690	    0.804
Region_0009	     81782	     83299	 1	      1518	    1.659
Region_0010	     84084	     89438	 1	      5355	    1.762
Region_0011	     91234	     92753	 1	      1520	    0.899
Region_0012	     93549	     93976	 1	       428	    1.000
Region_0013	     94627	     96655	 1	      2029	    1.000
Region_0014	     97393	    106731	 1	      9339	    1.419
Region_0015	    142999	    144387	 1	      1389	    3.000
Region_0016	    145273	    146847	 1	      1575	    2.664
Region_0017	    160462	    164136	 1	      3675	    1.000
Region_0018	    165295	    199039	 1	     33745	    2.295
Region_0019	    209895	    230513	 1	     20619	    2.128
Region_0020	    232666	    239269	 1	      6604	    3.790
Region_0021	    241360	    243332	 1	      1973	    0.000
Region_0022	    244878	    245760	 1	       883	    0.000
Region_0023	    246676	    247800	 1	      1125	    0.000
Region_0024	    249265	    249641	 1	       377	    0.000
Region_0025	    250085	    257476	 1	      7392	    0.000
Region_0026	    265610	    289507	 1	     23898	    0.050
Region_0027	    290045	    290138	 1	        94	    1.000
Region_0028	    292074	    292621	 1	       548	    1.000
Region_0029	    294930	    295201	 1	       272	    1.000
Region_0030	    297339	    310958	 1	     13620	    1.125
Region_0031	    352590	    356608	 1	      4019	    3.287
Region_0032	    357046	    357935	 1	       890	    5.126
Region_0033	    358705	    361337	 1	      2633	    6.000
Region_0034	    364812	    365535	 1	       724	    6.000
Region_0035	    367889	    376405	 1	      8517	    3.421
Region_0036	    377361	    377885	 1	       525	    3.000
Region_0037	    380178	    384452	 1	      4275	    3.000
Region_0038	    386508	    388944	 1	      2437	    3.000
Region_0039	    389525	    389595	 1	        71	    3.000
Region_0040	    390794	    391394	 1	       601	    3.000
Region_0041	    400022	    400894	 1	       873	    2.000
Region_0042	    401344	    401713	 1	       370	    2.000
Region_0043	    410327	    413337	 1	      3011	    2.000
