Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641830	   1647562	 1	      4593	    2.000	1
GA10023-RB 	  10408388	  10426788	 5	      1248	    0.030	1
GA10034-RA 	   9460480	   9463414	 4	      2601	    0.000	2
GA10035-RA 	  10370228	  10391660	 5	      2766	    0.099	1
GA10049-RA 	   3653286	   3653585	 3	       231	    4.000	1
GA10051-RB 	   9476083	   9480298	 4	      2706	    0.016	2
GA10056-RA 	  16568235	  16580678	11	      4320	    0.605	1
GA10057-RA 	   3019209	   3024872	 3	      4698	    2.934	1
GA10058-RC 	   9485589	   9488848	 4	      2616	    0.029	1
GA10074-RA 	   4399706	   4400905	 3	      1200	    3.095	1
GA10075-RA 	   4384134	   4386010	 3	      1737	    0.000	1
GA10076-RA 	   1184385	   1188979	 1	       687	    3.087	1
GA10078-RB 	   4364803	   4369749	 3	      1842	    0.906	1
GA10079-RA 	   5002388	   5015774	 3	      1710	    4.643	1
GA10080-RA 	   5016934	   5021505	 3	      4380	    4.286	1
GA10081-RB 	   5031659	   5032962	 3	       390	    2.197	1
GA10084-RA 	   5050357	   5113937	 3	      2298	    2.814	1
GA10086-RB 	   5101984	   5105889	 3	      1926	    3.000	1
GA10089-RA 	   5126707	   5132204	 3	      4944	    4.643	1
GA10094-RB 	   5133687	   5135999	 3	       858	    4.380	1
GA10096-RA 	   5154766	   5155202	 3	       303	    4.000	1
GA10097-RA 	   5166892	   5167904	 3	       957	    3.462	1
GA10102-RA 	  16800304	  16801332	10	      1029	    0.000	1
GA10105-RA 	   1865859	   1867996	 2	      1947	    1.695	1
GA10106-RA 	   5198404	   5200062	 3	      1596	    2.182	1
GA10108-RB 	   5213630	   5254707	 3	      1812	    2.242	1
GA10109-RA 	   5302117	   5302894	 3	       711	    1.000	1
GA10113-RB 	   5305844	   5308609	 3	      2142	    3.205	1
GA10115-RA 	   5311037	   5311741	 3	       585	    0.000	1
GA10117-RA 	   5315787	   5321159	 3	      1626	    2.573	1
GA10120-RA 	   4879918	   4881823	 3	       837	    3.000	1
GA10150-RA 	   4921263	   4922313	 3	       567	    2.187	1
GA10151-RA 	   4931321	   4933275	 3	      1890	    3.142	1
GA10153-RA 	   4947813	   4948703	 3	       675	    4.000	1
GA10155-RA 	   4962709	   4964873	 3	      1602	    2.155	1
GA10157-RA 	   4965594	   4967591	 3	      1629	    1.998	1
GA10161-RA 	   4968350	   4972282	 3	      3546	    1.753	1
GA10163-RA 	   2752816	   2753674	 3	       783	    1.000	1
GA10166-RA 	  17162623	  17164309	10	      1464	    1.000	1
GA10183-RA 	  12508547	  12510107	 8	      1497	    0.000	1
GA10189-RA 	  12498151	  12499734	 8	      1521	    2.587	1
GA10190-RA 	  12496160	  12497737	 8	      1515	    0.000	1
GA10197-RA 	  12457046	  12459840	 8	      2547	    0.191	1
GA10198-RA 	  12452464	  12453484	 8	       693	    0.058	1
GA10204-RB 	  10822536	  10823605	 5	      1014	    0.964	1
GA10235-RC 	   2954410	   2955549	 3	      1017	    1.000	1
GA10239-RA 	  17685059	  17687235	 6	      1932	    0.123	1
GA10241-RA 	   2972440	   2973583	 3	       951	    1.000	1
GA10242-RA 	   2988374	   2988756	 3	       318	    0.000	1
GA10243-RA 	   3012447	   3015041	 3	      2595	    3.406	1
GA10254-RA 	   9699039	   9700965	 4	      1815	    0.229	1
GA10260-RA 	  17481765	  17482689	 6	       858	    0.127	1
GA10289-RA 	  17430221	  17432457	10	      1512	    1.190	1
GA10291-RF 	  17516029	  17525336	 6	      1773	    0.197	1
GA10297-RA 	     14931	     15965	 1	       978	    2.000	1
GA10315-RA 	  16520497	  16521208	11	       390	    0.395	1
GA10319-RA 	  16555507	  16565821	11	      1116	    0.944	1
GA10327-RA 	   2787248	   2787551	 3	       240	    0.000	1
GA10330-RA 	     23596	     69906	 1	      1833	    2.000	1
GA10354-RA 	  16620907	  16623477	11	      2571	    2.126	1
GA10355-RE 	  16648834	  16743115	10	      1311	    1.322	1
GA10359-RA 	   3644977	   3649633	 3	      3957	    3.534	1
GA10372-RA 	   6868182	   6870200	13	       891	    1.081	1
GA10376-RA 	   6866145	   6867372	13	      1107	    1.547	1
GA10380-RA 	   8469980	   8470875	12	       735	    1.248	1
GA10384-RA 	   6851406	   6852545	13	       861	    0.000	1
GA10479-RA 	  13437655	  13440579	 8	      2808	    0.686	1
GA10531-RT 	   7733058	   7739903	 7	      2946	    0.000	1
GA10543-RA 	   4800397	   4800804	 3	       294	    1.000	1
GA10563-RA 	   5834068	   5834505	 3	       378	    0.548	1
GA10564-RA 	  19400840	  19401439	14	       540	    4.000	1
GA10572-RA 	  11394582	  11396087	 9	       729	    0.056	1
GA10576-RA 	    644919	    646239	 1	      1242	    5.296	1
GA10577-RA 	   5300713	   5300919	 3	       207	    0.000	1
GA10593-RE 	  11848288	  11871337	 8	     15465	    0.114	1
GA10623-RD 	   4656270	   4669116	 3	     10089	    1.106	1
GA10629-RA 	   9575846	   9576781	 4	       873	    0.282	1
GA10635-RA 	   6408050	   6409241	 3	      1119	    2.094	1
GA10636-RA 	   6412998	   6413836	 3	       780	    4.701	1
GA10637-RA 	   6476333	   6477826	 3	      1131	    2.000	1
GA10638-RA 	   6652975	   6654846	 3	      1872	    2.177	1
GA10639-RB 	   6655810	   6658342	 3	      1869	    2.440	1
GA10640-RA 	  14429981	  14430742	 8	       762	    1.022	1
GA10641-RA 	  14371338	  14373254	 8	      1917	    0.443	1
GA10647-RA 	  10043766	  10051121	 4	      1920	    0.047	1
GA10648-RA 	  10765189	  10766298	 5	      1110	    1.423	1
GA10650-RB 	  15847730	  15848836	11	      1107	    0.000	1
GA10653-RB 	  15051446	  15083071	 8	      4764	    0.172	1
GA10654-RA 	   4766804	   4767601	 3	       735	    2.218	1
GA10655-RA 	  15450239	  15451210	11	       972	    1.000	1
GA10665-RA 	  17425517	  17428079	10	      2295	    1.000	1
GA10679-RB 	  17483209	  17485287	 6	      1737	    0.066	1
GA10702-RA 	   7841723	   7842257	 7	       327	    1.232	1
GA10704-RA 	  13253479	  13254312	 8	       834	    0.766	1
GA10710-RB 	  13091676	  13092705	 8	       975	    0.000	1
GA10723-RA 	  12600371	  12605753	 8	       561	    0.000	1
