Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641830	   1647562	 1	      4593	    0.000	1
GA10023-RB 	   8369261	   8387661	 5	      1248	    0.506	1
GA10034-RA 	   7421353	   7424287	 4	      2601	    1.000	1
GA10035-RA 	   8331101	   8352533	 5	      2766	    0.000	1
GA10049-RA 	   3653286	   3653585	 3	       231	    0.000	1
GA10051-RB 	   7436956	   7441171	 4	      2706	    1.474	1
GA10056-RA 	  15720314	  15732757	11	      4320	    0.010	1
GA10057-RA 	   3019209	   3024872	 3	      4698	    2.033	1
GA10058-RC 	   7446462	   7449721	 4	      2616	    0.022	2
GA10074-RA 	   4399706	   4400905	 3	      1200	    1.178	1
GA10075-RA 	   4384134	   4386010	 3	      1737	    2.011	1
GA10076-RA 	   1184385	   1188979	 1	       687	    3.000	1
GA10078-RB 	   4364803	   4369749	 3	      1842	    1.319	1
GA10079-RA 	   5002388	   5015774	 3	      1710	    1.875	1
GA10080-RA 	   5016934	   5021505	 3	      4380	    0.445	1
GA10081-RB 	   5031659	   5032962	 3	       390	    0.123	1
GA10084-RA 	   5050357	   5113937	 3	      2298	    2.632	1
GA10086-RB 	   5101984	   5105889	 3	      1926	    1.000	1
GA10089-RA 	   5126707	   5132204	 3	      4944	    1.658	1
GA10094-RB 	   5133687	   5135999	 3	       858	    2.854	1
GA10096-RA 	   5154766	   5155202	 3	       303	    2.000	1
GA10097-RA 	   5166892	   5167904	 3	       957	    1.940	1
GA10102-RA 	  15499660	  15500688	10	      1029	    1.391	1
GA10105-RA 	   1865859	   1867996	 2	      1947	    2.000	1
GA10106-RA 	   5198404	   5200062	 3	      1596	    3.000	1
GA10108-RB 	   5213630	   5254707	 3	      1812	    2.084	1
GA10109-RA 	   5302117	   5302894	 3	       711	    2.000	1
GA10113-RB 	   5305844	   5308609	 3	      2142	    2.000	1
GA10115-RA 	   5311037	   5311741	 3	       585	    1.193	1
GA10117-RA 	   5315787	   5321159	 3	      1626	    2.213	1
GA10120-RA 	   4879918	   4881823	 3	       837	    1.000	1
GA10150-RA 	   4921263	   4922313	 3	       567	    2.450	1
GA10151-RA 	   4931321	   4933275	 3	      1890	    0.000	1
GA10153-RA 	   4947813	   4948703	 3	       675	    2.000	1
GA10155-RA 	   4962709	   4964873	 3	      1602	    2.133	1
GA10157-RA 	   4965594	   4967591	 3	      1629	    2.856	1
GA10161-RA 	   4968350	   4972282	 3	      3546	    1.517	1
GA10163-RA 	   2752816	   2753674	 3	       783	    0.596	1
GA10166-RA 	  15136683	  15138369	10	      1464	    1.480	1
GA10183-RA 	  10469420	  10470980	 8	      1497	    2.110	1
GA10189-RA 	  10459024	  10460607	 8	      1521	    0.079	2
GA10190-RA 	  10457033	  10458610	 8	      1515	    0.213	1
GA10197-RA 	  10417919	  10420713	 8	      2547	    3.575	1
GA10198-RA 	  10413337	  10414357	 8	       693	    0.000	1
GA10204-RB 	   8783409	   8784478	 5	      1014	    0.000	1
GA10235-RC 	   2954410	   2955549	 3	      1017	    4.252	1
GA10239-RA 	  14613757	  14615933	 6	      1932	    0.000	1
GA10241-RA 	   2972440	   2973583	 3	       951	    2.000	1
GA10242-RA 	   2988374	   2988756	 3	       318	    1.000	1
GA10243-RA 	   3012447	   3015041	 3	      2595	    3.099	1
GA10254-RA 	   7659912	   7661838	 4	      1815	    0.888	1
GA10260-RA 	  14818303	  14819227	 6	       858	    0.026	1
GA10289-RA 	  14868535	  14870771	10	      1512	    0.105	1
GA10291-RF 	  14775656	  14784963	 6	      1773	    0.000	2
GA10297-RA 	     14931	     15965	 1	       978	    0.000	1
GA10315-RA 	  15779784	  15780495	11	       390	    0.000	1
GA10319-RA 	  15735171	  15745485	11	      1116	    0.000	1
GA10327-RA 	   2787248	   2787551	 3	       240	    3.000	1
GA10330-RA 	     23596	     69906	 1	      1833	    0.000	1
GA10354-RA 	  15677515	  15680085	11	      2571	    2.180	1
GA10355-RE 	  15557877	  15652158	10	      1311	    0.101	1
GA10359-RA 	   3644977	   3649633	 3	      3957	    0.800	1
GA10372-RA 	  17595394	  17597412	13	       891	    2.000	1
GA10376-RA 	  17593357	  17594584	13	      1107	    2.000	1
GA10380-RA 	  17158065	  17158960	12	       735	    2.684	1
GA10384-RA 	  17578618	  17579757	13	       861	    3.482	1
GA10479-RA 	  11398528	  11401452	 8	      2808	    0.708	1
GA10531-RT 	  13833877	  13840722	 7	      2946	    0.000	1
GA10543-RA 	   4800397	   4800804	 3	       294	    1.000	1
GA10563-RA 	   5834068	   5834505	 3	       378	    0.000	1
GA10564-RA 	  19400840	  19401439	14	       540	    0.000	1
GA10572-RA 	   9355455	   9356960	 9	       729	    0.000	1
GA10576-RA 	    644919	    646239	 1	      1242	    5.000	1
GA10577-RA 	   5300713	   5300919	 3	       207	    1.000	1
GA10593-RE 	   9809161	   9832210	 8	     15465	    0.005	1
GA10623-RD 	   4656270	   4669116	 3	     10089	    0.578	1
GA10629-RA 	   7536719	   7537654	 4	       873	    0.000	1
GA10635-RA 	   6408050	   6409241	 3	      1119	    1.000	1
GA10636-RA 	   6412998	   6413836	 3	       780	    0.000	1
GA10637-RA 	   6476333	   6477826	 3	      1131	    1.007	1
GA10638-RA 	   6652975	   6654846	 3	      1872	    1.000	1
GA10639-RB 	   6655810	   6658342	 3	      1869	    1.000	1
GA10640-RA 	  12390854	  12391615	 8	       762	    0.215	1
GA10641-RA 	  12332211	  12334127	 8	      1917	    0.000	1
GA10647-RA 	   8004639	   8011994	 4	      1920	    0.055	1
GA10648-RA 	   8726062	   8727171	 5	      1110	    1.000	1
GA10650-RB 	  16452156	  16453262	11	      1107	    1.257	1
GA10653-RB 	  13012319	  13043944	 8	      4764	    0.131	2
GA10654-RA 	   4766804	   4767601	 3	       735	    0.000	1
GA10655-RA 	  16849782	  16850753	11	       972	    2.740	1
GA10665-RA 	  14872913	  14875475	10	      2295	    0.498	1
GA10679-RB 	  14815705	  14817783	 6	      1737	    0.019	1
GA10702-RA 	  13731523	  13732057	 7	       327	    4.887	1
GA10704-RA 	  11214352	  11215185	 8	       834	    0.000	1
