Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641894	   1647081	 1	      1140	    2.000	1
GA10023-RB 	  10408419	  10426553	 5	     17153	    0.066	1
GA10034-RA 	   9461166	   9462963	 4	       334	    0.000	2
GA10035-RA 	  10371010	  10391281	 5	     18667	    0.077	1
GA10049-RA 	   3653388	   3653456	 3	        69	    4.000	1
GA10051-RB 	   9476191	   9480136	 4	      1510	    0.103	2
GA10056-RA 	  16570693	  16580353	11	      8124	    0.407	1
GA10057-RA 	   3019520	   3024489	 3	       966	    2.955	1
GA10058-RC 	   9485610	   9488686	 4	       644	    0.051	1
GA10075-RA 	   4385586	   4385725	 3	       140	    0.000	1
GA10076-RA 	   1184445	   1188907	 1	      3908	    2.549	1
GA10078-RB 	   4365484	   4368822	 3	      3105	    0.857	1
GA10079-RA 	   5002601	   5015657	 3	     11677	    2.214	1
GA10080-RA 	   5019421	   5020671	 3	       192	    4.078	1
GA10081-RB 	   5032025	   5032938	 3	       914	    3.112	1
GA10084-RA 	   5051169	   5113828	 3	     61283	    3.181	1
GA10086-RB 	   5102105	   5105488	 3	      1980	    3.768	1
GA10089-RA 	   5127050	   5131473	 3	       554	    5.182	1
GA10094-RB 	   5133713	   5135996	 3	      1455	    4.722	1
GA10096-RA 	   5154769	   5155114	 3	       134	    4.000	1
GA10097-RA 	   5167312	   5167367	 3	        56	    3.018	1
GA10105-RA 	   1865876	   1866947	 2	       191	    1.340	1
GA10106-RA 	   5199028	   5199090	 3	        63	    2.873	1
GA10108-RB 	   5213649	   5254229	 3	     39266	    2.479	1
GA10109-RA 	   5302422	   5302488	 3	        67	    1.000	1
GA10113-RB 	   5306272	   5308598	 3	       624	    0.899	1
GA10115-RA 	   5311136	   5311565	 3	       120	    0.000	1
GA10117-RA 	   5316890	   5321139	 3	      3747	    2.357	1
GA10120-RA 	   4880162	   4881230	 3	      1069	    3.043	1
GA10150-RA 	   4921324	   4922060	 3	       484	    2.000	1
GA10151-RA 	   4932292	   4932356	 3	        65	    3.246	1
GA10153-RA 	   4947837	   4948052	 3	       216	    4.000	1
GA10155-RA 	   4962997	   4964863	 3	       563	    2.000	1
GA10157-RA 	   4967064	   4967588	 3	       369	    1.965	1
GA10161-RA 	   4969794	   4972114	 3	       387	    2.000	1
GA10163-RA 	   2753410	   2753485	 3	        76	    1.000	1
GA10166-RA 	  17162677	  17164070	10	       223	    1.000	1
GA10183-RA 	  12508978	  12509041	 8	        64	    0.000	1
GA10189-RA 	  12499253	  12499315	 8	        63	    3.016	1
GA10190-RA 	  12497259	  12497321	 8	        63	    0.000	1
GA10197-RA 	  12457223	  12459687	 8	       248	    0.258	1
GA10198-RA 	  12452656	  12453346	 8	       328	    0.128	1
GA10204-RB 	  10823310	  10823365	 5	        56	    2.536	1
GA10235-RC 	   2954662	   2955369	 3	       123	    1.000	1
GA10239-RA 	  17685743	  17687172	 6	       245	    0.669	1
GA10241-RA 	   2973349	   2973541	 3	       193	    1.000	1
GA10242-RA 	   2988564	   2988628	 3	        65	    0.000	1
GA10254-RA 	   9700439	   9700550	 4	       112	    1.393	1
GA10260-RA 	  17482391	  17482457	 6	        67	    0.134	1
GA10289-RA 	  17430405	  17432257	10	       725	    1.086	1
GA10291-RF 	  17516310	  17525221	 6	      7535	    0.470	1
GA10297-RA 	     14986	     15042	 1	        57	    2.000	1
GA10315-RA 	  16520615	  16521086	11	       322	    0.202	1
GA10319-RA 	  16555518	  16565387	11	      9199	    0.206	1
GA10327-RA 	   2787287	   2787350	 3	        64	    0.000	1
GA10330-RA 	     24321	     69368	 1	     44478	    1.900	1
GA10355-RE 	  16648960	  16742942	10	     92971	    0.547	1
GA10359-RA 	   3645281	   3649550	 3	       700	    4.040	1
GA10372-RA 	   6868661	   6870190	13	      1128	    1.031	1
GA10376-RA 	   6866749	   6867311	13	       121	    1.446	1
GA10380-RA 	   8470460	   8470789	12	       161	    2.062	1
GA10384-RA 	   6851647	   6852095	13	       279	    0.000	1
GA10479-RA 	  13438251	  13439249	 8	       117	    1.436	1
GA10531-RT 	   7733544	   7739854	 7	      3900	    0.000	1
GA10543-RA 	   4800400	   4800592	 3	       114	    1.000	1
GA10563-RA 	   5834191	   5834250	 3	        60	    0.383	1
GA10564-RA 	  19401103	  19401162	14	        60	    4.000	1
GA10572-RA 	  11394638	  11395958	 9	       777	    0.024	1
GA10576-RA 	    645842	    645920	 1	        79	    6.000	1
GA10593-RE 	  11850971	  11871283	 8	      7585	    0.096	1
GA10623-RD 	   4656427	   4668965	 3	      2758	    1.284	1
GA10629-RA 	   9576284	   9576346	 4	        63	    0.000	1
GA10635-RA 	   6408797	   6408869	 3	        73	    2.000	1
GA10636-RA 	   6413391	   6413449	 3	        59	    3.102	1
GA10637-RA 	   6476606	   6476968	 3	       363	    2.000	1
GA10639-RB 	   6656681	   6657668	 3	       664	    2.000	1
GA10647-RA 	  10045651	  10051086	 4	      5436	    0.158	1
GA10653-RB 	  15051770	  15082932	 8	     26862	    0.221	1
GA10654-RA 	   4766937	   4766999	 3	        63	    2.000	1
GA10665-RA 	  17425598	  17427972	10	       268	    1.000	1
GA10679-RB 	  17483391	  17485006	 6	       342	    0.000	1
GA10702-RA 	   7841760	   7842038	 7	       208	    1.159	1
GA10710-RB 	  13092597	  13092651	 8	        55	    0.000	1
GA10723-RA 	  12600383	  12605700	 8	      4822	    0.004	1
GA10726-RA 	  17733339	  17735113	14	       182	    1.363	1
