Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641894	   1647081	 1	      1140	    0.000	1
GA10023-RB 	   8369292	   8387426	 5	     17153	    0.106	1
GA10034-RA 	   7422039	   7423836	 4	       334	    1.000	1
GA10035-RA 	   8331883	   8352154	 5	     18667	    0.248	1
GA10049-RA 	   3653388	   3653456	 3	        69	    0.000	1
GA10051-RB 	   7437064	   7441009	 4	      1510	    0.604	1
GA10056-RA 	  15720639	  15730299	11	      8124	    0.015	1
GA10057-RA 	   3019520	   3024489	 3	       966	    2.000	1
GA10058-RC 	   7446483	   7449559	 4	       644	    0.033	2
GA10075-RA 	   4385586	   4385725	 3	       140	    2.000	1
GA10076-RA 	   1184445	   1188907	 1	      3908	    3.000	1
GA10078-RB 	   4365484	   4368822	 3	      3105	    1.233	1
GA10079-RA 	   5002601	   5015657	 3	     11677	    1.768	1
GA10080-RA 	   5019421	   5020671	 3	       192	    0.224	1
GA10081-RB 	   5032025	   5032938	 3	       914	    0.839	1
GA10084-RA 	   5051169	   5113828	 3	     61283	    1.707	1
GA10086-RB 	   5102105	   5105488	 3	      1980	    1.001	1
GA10089-RA 	   5127050	   5131473	 3	       554	    1.800	1
GA10094-RB 	   5133713	   5135996	 3	      1455	    2.933	1
GA10096-RA 	   5154769	   5155114	 3	       134	    2.000	1
GA10097-RA 	   5167312	   5167367	 3	        56	    2.000	1
GA10105-RA 	   1865876	   1866947	 2	       191	    2.000	1
GA10106-RA 	   5199028	   5199090	 3	        63	    3.000	1
GA10108-RB 	   5213649	   5254229	 3	     39266	    1.723	1
GA10109-RA 	   5302422	   5302488	 3	        67	    2.000	1
GA10113-RB 	   5306272	   5308598	 3	       624	    2.000	1
GA10115-RA 	   5311136	   5311565	 3	       120	    1.450	1
GA10117-RA 	   5316890	   5321139	 3	      3747	    2.402	1
GA10120-RA 	   4880162	   4881230	 3	      1069	    1.000	1
GA10150-RA 	   4921324	   4922060	 3	       484	    1.258	1
GA10151-RA 	   4932292	   4932356	 3	        65	    0.000	1
GA10153-RA 	   4947837	   4948052	 3	       216	    2.000	1
GA10155-RA 	   4962997	   4964863	 3	       563	    2.000	1
GA10157-RA 	   4967064	   4967588	 3	       369	    3.000	1
GA10161-RA 	   4969794	   4972114	 3	       387	    0.672	1
GA10163-RA 	   2753410	   2753485	 3	        76	    1.000	1
GA10166-RA 	  15136922	  15138315	10	       223	    1.193	1
GA10183-RA 	  10469851	  10469914	 8	        64	    0.000	1
GA10189-RA 	  10460126	  10460188	 8	        63	    0.587	2
GA10190-RA 	  10458132	  10458194	 8	        63	    0.000	1
GA10197-RA 	  10418096	  10420560	 8	       248	    2.722	1
GA10198-RA 	  10413529	  10414219	 8	       328	    0.000	1
GA10204-RB 	   8784183	   8784238	 5	        56	    0.000	1
GA10235-RC 	   2954662	   2955369	 3	       123	    4.569	1
GA10239-RA 	  14613820	  14615249	 6	       245	    0.000	1
GA10241-RA 	   2973349	   2973541	 3	       193	    2.000	1
GA10242-RA 	   2988564	   2988628	 3	        65	    1.000	1
GA10254-RA 	   7661312	   7661423	 4	       112	    1.000	1
GA10260-RA 	  14818535	  14818601	 6	        67	    0.000	1
GA10289-RA 	  14868735	  14870587	10	       725	    0.000	1
GA10291-RF 	  14775771	  14784682	 6	      7535	    0.003	2
GA10297-RA 	     14986	     15042	 1	        57	    0.000	1
GA10315-RA 	  15779906	  15780377	11	       322	    0.000	1
GA10319-RA 	  15735605	  15745474	11	      9199	    0.166	1
GA10327-RA 	   2787287	   2787350	 3	        64	    3.391	1
GA10330-RA 	     24321	     69368	 1	     44478	    0.000	1
GA10355-RE 	  15558050	  15652032	10	     92971	    0.484	1
GA10359-RA 	   3645281	   3649550	 3	       700	    0.234	1
GA10372-RA 	  17595873	  17597402	13	      1128	    2.000	1
GA10376-RA 	  17593961	  17594523	13	       121	    2.000	1
GA10380-RA 	  17158545	  17158874	12	       161	    3.311	1
GA10384-RA 	  17578859	  17579307	13	       279	    3.319	1
GA10479-RA 	  11399124	  11400122	 8	       117	    1.915	1
GA10531-RT 	  13833926	  13840236	 7	      3900	    0.000	1
GA10543-RA 	   4800400	   4800592	 3	       114	    1.000	1
GA10563-RA 	   5834191	   5834250	 3	        60	    0.000	1
GA10564-RA 	  19401103	  19401162	14	        60	    0.000	1
GA10572-RA 	   9355511	   9356831	 9	       777	    0.000	1
GA10576-RA 	    645842	    645920	 1	        79	    5.000	1
GA10593-RE 	   9811844	   9832156	 8	      7585	    0.000	1
GA10623-RD 	   4656427	   4668965	 3	      2758	    0.488	1
GA10629-RA 	   7537157	   7537219	 4	        63	    0.000	1
GA10635-RA 	   6408797	   6408869	 3	        73	    1.000	1
GA10636-RA 	   6413391	   6413449	 3	        59	    0.000	1
GA10637-RA 	   6476606	   6476968	 3	       363	    1.000	1
GA10639-RB 	   6656681	   6657668	 3	       664	    1.000	1
GA10647-RA 	   8006524	   8011959	 4	      5436	    0.379	1
GA10653-RB 	  13012643	  13043805	 8	     26862	    0.569	2
GA10654-RA 	   4766937	   4766999	 3	        63	    0.000	1
GA10665-RA 	  14873020	  14875394	10	       268	    0.470	1
GA10679-RB 	  14815986	  14817601	 6	       342	    0.041	1
GA10702-RA 	  13731742	  13732020	 7	       208	    4.736	1
GA10710-RB 	  11053470	  11053524	 8	        55	    1.473	1
GA10723-RA 	  10561256	  10566573	 8	      4822	    0.240	1
