Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641830	   1647562	 1	      4593	    2.000	1
GA10023-RB 	  15217635	  15236035	 5	      1248	    2.342	1
GA10034-RA 	  14269727	  14272661	 4	      2601	    0.000	1
GA10035-RA 	  15179475	  15200907	 5	      2766	    2.664	1
GA10049-RA 	   3653286	   3653585	 3	       231	    5.000	1
GA10051-RB 	  14285330	  14289545	 4	      2706	    0.000	2
GA10056-RA 	  11841476	  11853919	11	      4320	    0.000	1
GA10057-RA 	   3019209	   3024872	 3	      4698	    2.852	1
GA10058-RC 	  14294836	  14298095	 4	      2616	    0.406	1
GA10074-RA 	   4399706	   4400905	 3	      1200	    7.090	1
GA10075-RA 	   4384134	   4386010	 3	      1737	    2.000	1
GA10076-RA 	   1184385	   1188979	 1	       687	    3.297	1
GA10078-RB 	   4364803	   4369749	 3	      1842	    4.723	1
GA10079-RA 	   5002388	   5015774	 3	      1710	    1.568	1
GA10080-RA 	   5016934	   5021505	 3	      4380	    1.869	1
GA10081-RB 	   5031659	   5032962	 3	       390	    2.938	1
GA10084-RA 	   5050357	   5113937	 3	      2298	    3.141	1
GA10086-RB 	   5101984	   5105889	 3	      1926	    3.000	1
GA10089-RA 	   5126707	   5132204	 3	      4944	    4.145	1
GA10094-RB 	   5133687	   5135999	 3	       858	    1.059	1
GA10096-RA 	   5154766	   5155202	 3	       303	    4.010	1
GA10097-RA 	   5166892	   5167904	 3	       957	    6.097	1
GA10102-RA 	  16800304	  16801332	10	      1029	    0.252	1
GA10105-RA 	   1865859	   1867996	 2	      1947	    3.000	1
GA10106-RA 	   5198404	   5200062	 3	      1596	    6.897	1
GA10108-RB 	   5213630	   5254707	 3	      1812	    4.906	1
GA10109-RA 	   5302117	   5302894	 3	       711	    1.127	1
GA10113-RB 	   5305844	   5308609	 3	      2142	    1.566	1
GA10115-RA 	   5311037	   5311741	 3	       585	    1.715	1
GA10117-RA 	   5315787	   5321159	 3	      1626	    0.322	1
GA10120-RA 	   4879918	   4881823	 3	       837	    5.085	1
GA10150-RA 	   4921263	   4922313	 3	       567	    4.231	1
GA10151-RA 	   4931321	   4933275	 3	      1890	    4.056	1
GA10153-RA 	   4947813	   4948703	 3	       675	    3.000	1
GA10155-RA 	   4962709	   4964873	 3	      1602	    2.025	1
GA10157-RA 	   4965594	   4967591	 3	      1629	    5.069	1
GA10161-RA 	   4968350	   4972282	 3	      3546	    4.960	1
GA10163-RA 	   2752816	   2753674	 3	       783	    0.000	1
GA10166-RA 	  17162623	  17164309	10	      1464	    1.383	1
GA10183-RA 	  11102800	  11104360	 8	      1497	    0.326	1
GA10189-RA 	  11113173	  11114756	 8	      1521	    1.260	1
GA10190-RA 	  11115170	  11116747	 8	      1515	    0.028	1
GA10197-RA 	  11153067	  11155861	 8	      2547	    1.118	1
GA10198-RA 	  11159423	  11160443	 8	       693	    0.009	1
GA10204-RB 	  15631783	  15632852	 5	      1014	    0.000	1
GA10235-RC 	   2954410	   2955549	 3	      1017	    6.000	1
GA10239-RA 	  17685059	  17687235	 6	      1932	    0.257	1
GA10241-RA 	   2972440	   2973583	 3	       951	    2.001	1
GA10242-RA 	   2988374	   2988756	 3	       318	    0.142	1
GA10243-RA 	   3012447	   3015041	 3	      2595	    2.000	1
GA10254-RA 	  14508286	  14510212	 4	      1815	    0.000	1
GA10260-RA 	  17481765	  17482689	 6	       858	    0.003	1
GA10289-RA 	  17430221	  17432457	10	      1512	    0.000	1
GA10291-RF 	  17516029	  17525336	 6	      1773	    0.016	2
GA10297-RA 	     14931	     15965	 1	       978	    0.000	1
GA10315-RA 	  11900946	  11901657	11	       390	    0.718	1
GA10319-RA 	  11856333	  11866647	11	      1116	    0.000	1
GA10327-RA 	   2787248	   2787551	 3	       240	    3.675	1
GA10330-RA 	     23596	     69906	 1	      1833	    0.085	1
GA10354-RA 	  11798677	  11801247	11	      2571	    1.665	1
GA10355-RE 	  16648834	  16743115	10	      1311	    0.252	1
GA10359-RA 	   3644977	   3649633	 3	      3957	    3.079	1
GA10372-RA 	   6868182	   6870200	13	       891	    1.000	1
GA10376-RA 	   6866145	   6867372	13	      1107	    0.000	1
GA10380-RA 	  13279227	  13280122	12	       735	    1.061	1
GA10384-RA 	   6851406	   6852545	13	       861	    0.000	1
GA10479-RA 	  10172328	  10175252	 8	      2808	    0.275	1
GA10531-RT 	   7733058	   7739903	 7	      2946	    0.417	1
GA10543-RA 	   4800397	   4800804	 3	       294	    5.000	1
GA10563-RA 	   5834068	   5834505	 3	       378	    1.325	1
GA10564-RA 	  19400840	  19401439	14	       540	    6.000	1
GA10572-RA 	  16203829	  16205334	 9	       729	    0.000	1
GA10576-RA 	    644919	    646239	 1	      1242	    3.000	1
GA10577-RA 	   5300713	   5300919	 3	       207	    1.667	1
GA10593-RE 	  11741570	  11764619	 8	     15465	    1.296	1
GA10623-RD 	   4656270	   4669116	 3	     10089	    3.549	1
GA10629-RA 	  14385093	  14386028	 4	       873	    0.690	1
GA10635-RA 	   6408050	   6409241	 3	      1119	    1.000	1
GA10636-RA 	   6412998	   6413836	 3	       780	    1.000	1
GA10637-RA 	   6476333	   6477826	 3	      1131	    2.037	1
GA10638-RA 	   6652975	   6654846	 3	      1872	    2.178	1
GA10639-RB 	   6655810	   6658342	 3	      1869	    2.037	1
GA10640-RA 	   9182165	   9182926	 8	       762	    2.469	1
GA10641-RA 	   9239653	   9241569	 8	      1917	    1.371	1
GA10647-RA 	  14853013	  14860368	 4	      1920	    1.183	1
GA10648-RA 	  15574436	  15575545	 5	      1110	    1.000	1
GA10650-RB 	  12573318	  12574424	11	      1107	    0.000	1
GA10653-RB 	   8529836	   8561461	 8	      4764	    0.222	1
GA10654-RA 	   4766804	   4767601	 3	       735	    6.218	1
GA10655-RA 	  12970944	  12971915	11	       972	    0.000	1
GA10665-RA 	  17425517	  17428079	10	      2295	    0.000	1
GA10679-RB 	  17483209	  17485287	 6	      1737	    0.000	1
GA10702-RA 	   7841723	   7842257	 7	       327	    1.000	1
GA10704-RA 	  10358595	  10359428	 8	       834	    0.120	1
GA10710-RB 	  10520202	  10521231	 8	       975	    0.031	1
GA10723-RA 	  11007154	  11012536	 8	       561	    0.913	1
GA10726-RA 	  17732688	  17735164	14	      2295	    0.000	1
GA10731-RA 	  17713651	  17716393	 6	      2604	    0.012	1
GA10733-RB 	  19351023	  19353577	14	      2343	    1.000	1
GA10737-RA 	    199040	    209894	 1	      1992	    4.039	1
GA10744-RB 	  19382037	  19389507	14	      3342	    4.000	1
GA10745-RB 	   4994125	   4994874	 3	       606	    2.000	1
GA10748-RC 	   1353834	   1383654	 1	      3249	    1.755	1
GA10750-RB 	   1404852	   1405334	 1	       483	    1.000	1
GA10758-RA 	  17737029	  17738550	14	      1131	    0.000	1
GA10760-RA 	   1445280	   1460038	 1	      4176	    1.574	1
GA10763-RB 	   1549657	   1552783	 1	      2220	    2.107	1
