Gene_Name	Beg	End	Region	Nuc	Mean_Cov
Region_0001	         1	     14930	 1	     14930	    0.251
Region_0002	     15966	     15985	 1	        20	    0.000
Region_0003	     16457	     23595	 1	      7139	    0.000
Region_0004	     69907	     70721	 1	       815	    0.000
Region_0005	     71441	     72446	 1	      1006	    0.000
Region_0006	     73916	     74163	 1	       248	    0.000
Region_0007	     77332	     78876	 1	      1545	    1.325
Region_0008	     79732	     81421	 1	      1690	    3.000
Region_0009	     81782	     83299	 1	      1518	    3.000
Region_0010	     84084	     89438	 1	      5355	    3.120
Region_0011	     91234	     92753	 1	      1520	    4.000
Region_0012	     93549	     93976	 1	       428	    4.000
Region_0013	     94627	     96655	 1	      2029	    3.552
Region_0014	     97393	    106731	 1	      9339	    3.000
Region_0015	    142999	    144387	 1	      1389	    3.000
Region_0016	    145273	    146847	 1	      1575	    2.176
Region_0017	    160462	    164136	 1	      3675	    1.773
Region_0018	    165295	    199039	 1	     33745	    3.541
Region_0019	    209895	    230513	 1	     20619	    3.949
Region_0020	    232666	    239269	 1	      6604	    3.000
Region_0021	    241360	    243332	 1	      1973	    3.000
Region_0022	    244878	    245760	 1	       883	    2.000
Region_0023	    246676	    247800	 1	      1125	    0.828
Region_0024	    249265	    249641	 1	       377	    0.000
Region_0025	    250085	    257476	 1	      7392	    1.279
Region_0026	    265610	    289507	 1	     23898	    3.000
Region_0027	    290045	    290138	 1	        94	    3.000
Region_0028	    292074	    292621	 1	       548	    3.000
Region_0029	    294930	    295201	 1	       272	    3.000
Region_0030	    297339	    310958	 1	     13620	    3.313
Region_0031	    352590	    356608	 1	      4019	    5.048
Region_0032	    357046	    357935	 1	       890	    5.000
Region_0033	    358705	    361337	 1	      2633	    5.000
Region_0034	    364812	    365535	 1	       724	    5.080
Region_0035	    367889	    376405	 1	      8517	    6.564
Region_0036	    377361	    377885	 1	       525	    8.000
Region_0037	    380178	    384452	 1	      4275	    8.437
Region_0038	    386508	    388944	 1	      2437	    6.934
Region_0039	    389525	    389595	 1	        71	    7.000
Region_0040	    390794	    391394	 1	       601	    7.000
Region_0041	    400022	    400894	 1	       873	    7.000
Region_0042	    401344	    401713	 1	       370	    6.419
Region_0043	    410327	    413337	 1	      3011	    3.183
Region_0044	    413739	    414227	 1	       489	    3.419
Region_0045	    414771	    416681	 1	      1911	    3.670
Region_0046	    419600	    426448	 1	      6849	    3.000
Region_0047	    427364	    427598	 1	       235	    3.000
Region_0048	    429744	    439876	 1	     10133	    3.195
Region_0049	    449124	    454785	 1	      5662	    4.025
Region_0050	    455836	    456555	 1	       720	    2.886
Region_0051	    457130	    459478	 1	      2349	    2.000
Region_0052	    461008	    462891	 1	      1884	    2.551
Region_0053	    467744	    468404	 1	       661	    2.000
Region_0054	    502040	    523964	 1	     21925	    0.000
Region_0055	    527495	    534179	 1	      6685	    1.851
Region_0056	    541679	    543584	 1	      1906	    3.726
Region_0057	    564122	    573087	 1	      8966	    1.684
Region_0058	    574585	    583343	 1	      8759	    3.223
Region_0059	    584361	    584989	 1	       629	    4.965
Region_0060	    590480	    591048	 1	       569	    5.000
Region_0061	    594661	    596384	 1	      1724	    4.165
Region_0062	    596658	    596917	 1	       260	    4.000
Region_0063	    597176	    597811	 1	       636	    4.208
Region_0064	    599748	    600934	 1	      1187	    5.097
Region_0065	    601622	    602208	 1	       587	    5.000
Region_0066	    604585	    611010	 1	      6426	    4.099
Region_0067	    612677	    613424	 1	       748	    5.255
Region_0068	    613785	    623086	 1	      9302	    4.067
Region_0069	    627294	    627651	 1	       358	    4.000
Region_0070	    631067	    642286	 1	     11220	    4.220
Region_0071	    642667	    644918	 1	      2252	    3.000
Region_0072	    646240	    662468	 1	     16229	    3.033
Region_0073	    675091	    696347	 1	     21257	    4.009
Region_0074	    696720	    708719	 1	     12000	    5.187
Region_0075	    709395	    730172	 1	     20778	    3.786
Region_0076	    731573	    732923	 1	      1351	    6.001
Region_0077	    734101	    757208	 1	     23108	    3.543
Region_0078	    769519	    772637	 1	      3119	    4.564
Region_0079	    776990	    779392	 1	      2403	    5.343
Region_0080	    780155	    783287	 1	      3133	    4.000
Region_0081	    785515	    790013	 1	      4499	    4.585
Region_0082	    790822	    797820	 1	      6999	    3.632
Region_0083	    798718	    799578	 1	       861	    3.000
