Transcript	Intron_No	Beg	End
GA10015-RB 	 1	 1641894	 1641954	1
GA10015-RB 	 2	 1642401	 1642464	1
GA10015-RB 	 3	 1642740	 1642800	1
GA10015-RB 	 4	 1642911	 1642971	1
GA10015-RB 	 5	 1643208	 1643263	1
GA10015-RB 	 6	 1643760	 1643821	1
GA10015-RB 	 7	 1643955	 1644022	1
GA10015-RB 	 8	 1644156	 1644217	1
GA10015-RB 	 9	 1644282	 1644345	1
GA10015-RB 	10	 1644427	 1644487	1
GA10015-RB 	11	 1644693	 1644754	1
GA10015-RB 	12	 1644895	 1644963	1
GA10015-RB 	13	 1646037	 1646237	1
GA10015-RB 	14	 1646328	 1646383	1
GA10015-RB 	15	 1646839	 1646908	1
GA10015-RB 	16	 1647020	 1647081	1
GA10023-RB 	 1	 8690452	 8690571	1
GA10023-RB 	 2	 8690634	 8690697	1
GA10023-RB 	 3	 8690865	 8691531	1
GA10023-RB 	 4	 8691658	 8691758	1
GA10023-RB 	 5	 8691964	 8701896	1
GA10023-RB 	 6	 8702053	 8702575	1
GA10023-RB 	 7	 8702842	 8708586	1
GA10034-RA 	 1	 9654042	 9654119	1
GA10034-RA 	 2	 9654323	 9654380	1
GA10034-RA 	 3	 9654525	 9654584	1
GA10034-RA 	 4	 9654770	 9654830	1
GA10034-RA 	 5	 9655763	 9655839	1
GA10035-RA 	 1	 8725724	 8726509	1
GA10035-RA 	 2	 8726642	 8731413	1
GA10035-RA 	 3	 8732554	 8732635	1
GA10035-RA 	 4	 8732803	 8745772	1
GA10035-RA 	 5	 8745939	 8745995	1
GA10049-RA 	 1	13424422	13424490	1
GA10051-RB 	 1	 9636869	 9636938	2
GA10051-RB 	 2	 9637428	 9637493	2
GA10051-RB 	 3	 9637641	 9637696	2
GA10051-RB 	 4	 9638063	 9638124	2
GA10051-RB 	 5	 9638509	 9638565	2
GA10051-RB 	 6	 9638721	 9638797	2
GA10051-RB 	 7	 9638919	 9638984	2
GA10051-RB 	 8	 9639070	 9639138	2
GA10051-RB 	 9	 9639828	 9640814	2
GA10056-RA 	 1	15720639	15728555	1
GA10056-RA 	 2	15728779	15728842	1
GA10056-RA 	 3	15730024	15730091	1
GA10056-RA 	 4	15730225	15730299	1
GA10057-RA 	 1	14053389	14053451	1
GA10057-RA 	 2	14053603	14053663	1
GA10057-RA 	 3	14054477	14054546	1
GA10057-RA 	 4	14054820	14054885	1
GA10057-RA 	 5	14057010	14057081	1
GA10057-RA 	 6	14057203	14057263	1
GA10057-RA 	 7	14057362	14057433	1
GA10057-RA 	 8	14057797	14058223	1
GA10057-RA 	 9	14058285	14058358	1
GA10058-RC 	 1	 9628319	 9628390	1
GA10058-RC 	 2	 9628883	 9628945	1
GA10058-RC 	 3	 9629093	 9629154	1
GA10058-RC 	 4	 9629225	 9629282	1
