Transcript	Intron_No	Beg	End
GA10015-RB 	 1	 1641894	 1641954	1
GA10015-RB 	 2	 1642401	 1642464	1
GA10015-RB 	 3	 1642740	 1642800	1
GA10015-RB 	 4	 1642911	 1642971	1
GA10015-RB 	 5	 1643208	 1643263	1
GA10015-RB 	 6	 1643760	 1643821	1
GA10015-RB 	 7	 1643955	 1644022	1
GA10015-RB 	 8	 1644156	 1644217	1
GA10015-RB 	 9	 1644282	 1644345	1
GA10015-RB 	10	 1644427	 1644487	1
GA10015-RB 	11	 1644693	 1644754	1
GA10015-RB 	12	 1644895	 1644963	1
GA10015-RB 	13	 1646037	 1646237	1
GA10015-RB 	14	 1646328	 1646383	1
GA10015-RB 	15	 1646839	 1646908	1
GA10015-RB 	16	 1647020	 1647081	1
GA10023-RB 	 1	 8369292	 8375036	1
GA10023-RB 	 2	 8375303	 8375825	1
GA10023-RB 	 3	 8375982	 8385914	1
GA10023-RB 	 4	 8386120	 8386220	1
GA10023-RB 	 5	 8386347	 8387013	1
GA10023-RB 	 6	 8387181	 8387244	1
GA10023-RB 	 7	 8387307	 8387426	1
GA10034-RA 	 1	 7422039	 7422115	1
GA10034-RA 	 2	 7423048	 7423108	1
GA10034-RA 	 3	 7423294	 7423353	1
GA10034-RA 	 4	 7423498	 7423555	1
GA10034-RA 	 5	 7423759	 7423836	1
GA10035-RA 	 1	 8331883	 8331939	1
GA10035-RA 	 2	 8332106	 8345075	1
GA10035-RA 	 3	 8345243	 8345324	1
GA10035-RA 	 4	 8346465	 8351236	1
GA10035-RA 	 5	 8351369	 8352154	1
GA10049-RA 	 1	 3653388	 3653456	1
GA10051-RB 	 1	 7437064	 7438050	1
GA10051-RB 	 2	 7438740	 7438808	1
GA10051-RB 	 3	 7438894	 7438959	1
GA10051-RB 	 4	 7439081	 7439157	1
GA10051-RB 	 5	 7439313	 7439369	1
GA10051-RB 	 6	 7439754	 7439815	1
GA10051-RB 	 7	 7440182	 7440237	1
GA10051-RB 	 8	 7440385	 7440450	1
GA10051-RB 	 9	 7440940	 7441009	1
GA10056-RA 	 1	15720639	15728555	1
GA10056-RA 	 2	15728779	15728842	1
GA10056-RA 	 3	15730024	15730091	1
GA10056-RA 	 4	15730225	15730299	1
GA10057-RA 	 1	 3019520	 3019593	1
GA10057-RA 	 2	 3019655	 3020081	1
GA10057-RA 	 3	 3020445	 3020516	1
GA10057-RA 	 4	 3020615	 3020675	1
GA10057-RA 	 5	 3020797	 3020868	1
GA10057-RA 	 6	 3022993	 3023058	1
GA10057-RA 	 7	 3023332	 3023401	1
GA10057-RA 	 8	 3024215	 3024275	1
GA10057-RA 	 9	 3024427	 3024489	1
GA10058-RC 	 1	 7446483	 7446551	2
GA10058-RC 	 2	 7447235	 7447300	2
GA10058-RC 	 3	 7447386	 7447454	2
