Gene_Name	Beg	End	Region	Nuc	Mean_Cov	Outlier_Status
GA10015-RB 	   1641830	   1647562	 1	      4593	    2.000	1
GA10023-RB 	   8690217	   8708617	 5	      1248	    0.000	1
GA10034-RA 	   9653591	   9656525	 4	      2601	    0.187	1
GA10035-RA 	   8725345	   8746777	 5	      2766	    0.000	1
GA10049-RA 	  13424293	  13424592	 3	       231	    0.000	1
GA10051-RB 	   9636707	   9640922	 4	      2706	    0.000	2
GA10056-RA 	  15720314	  15732757	11	      4320	    0.123	1
GA10057-RA 	  14053006	  14058669	 3	      4698	    0.000	1
GA10058-RC 	   9628157	   9631416	 4	      2616	    0.303	1
GA10074-RA 	  12676973	  12678172	 3	      1200	    0.000	2
GA10075-RA 	  12691868	  12693744	 3	      1737	    0.617	1
GA10076-RA 	   1184385	   1188979	 1	       687	    0.879	1
GA10078-RB 	  12708129	  12713075	 3	      1842	    0.038	2
GA10079-RA 	  12062104	  12075490	 3	      1710	    0.000	2
GA10080-RA 	  12056373	  12060944	 3	      4380	    0.045	1
GA10081-RB 	  12044916	  12046219	 3	       390	    0.123	1
GA10084-RA 	  11963941	  12027521	 3	      2298	    0.267	1
GA10086-RB 	  11971989	  11975894	 3	      1926	    0.000	1
GA10089-RA 	  11945674	  11951171	 3	      4944	    0.060	2
GA10094-RB 	  11941879	  11944191	 3	       858	    1.198	1
GA10096-RA 	  11922676	  11923112	 3	       303	    3.007	1
GA10097-RA 	  11909974	  11910986	 3	       957	    0.039	1
GA10102-RA 	  15499660	  15500688	10	      1029	    0.000	2
GA10105-RA 	   1865859	   1867996	 2	      1947	    3.431	1
GA10106-RA 	  11877816	  11879474	 3	      1596	    0.123	1
GA10108-RB 	  11823171	  11864248	 3	      1812	    0.189	1
GA10109-RA 	  11774984	  11775761	 3	       711	    0.000	1
GA10113-RB 	  11769269	  11772034	 3	      2142	    0.000	1
GA10115-RA 	  11766137	  11766841	 3	       585	    1.239	1
GA10117-RA 	  11756719	  11762091	 3	      1626	    0.000	2
GA10120-RA 	  12196055	  12197960	 3	       837	    0.708	1
GA10150-RA 	  12155565	  12156615	 3	       567	    0.000	1
GA10151-RA 	  12144603	  12146557	 3	      1890	    0.000	1
GA10153-RA 	  12129175	  12130065	 3	       675	    0.000	1
GA10155-RA 	  12113005	  12115169	 3	      1602	    0.000	1
GA10157-RA 	  12110287	  12112284	 3	      1629	    0.000	1
GA10161-RA 	  12105596	  12109528	 3	      3546	    0.000	1
GA10163-RA 	  14324204	  14325062	 3	       783	    0.004	1
GA10166-RA 	  15136683	  15138369	10	      1464	    0.000	1
GA10183-RA 	   6606898	   6608458	 8	      1497	    0.647	1
GA10189-RA 	   6617271	   6618854	 8	      1521	    1.053	1
GA10190-RA 	   6619268	   6620845	 8	      1515	    0.000	1
GA10197-RA 	   6657165	   6659959	 8	      2547	    0.004	1
GA10198-RA 	   6663521	   6664541	 8	       693	    0.665	1
GA10204-RB 	   8293400	   8294469	 5	      1014	    2.268	1
GA10235-RC 	  14122329	  14123468	 3	      1017	    0.000	1
GA10239-RA 	  14613757	  14615933	 6	      1932	    0.639	1
GA10241-RA 	  14104295	  14105438	 3	       951	    0.000	1
GA10242-RA 	  14089122	  14089504	 3	       318	    0.858	1
GA10243-RA 	  14062837	  14065431	 3	      2595	    0.143	1
GA10254-RA 	   9416040	   9417966	 4	      1815	    0.267	1
GA10260-RA 	  14818303	  14819227	 6	       858	    0.141	1
GA10289-RA 	  14868535	  14870771	10	      1512	    0.000	1
GA10291-RF 	  14775656	  14784963	 6	      1773	    0.000	2
GA10297-RA 	     14931	     15965	 1	       978	    2.000	1
GA10315-RA 	  15779784	  15780495	11	       390	    0.354	1
GA10319-RA 	  15735171	  15745485	11	      1116	    0.096	1
GA10327-RA 	  14290327	  14290630	 3	       240	    0.287	1
GA10330-RA 	     23596	     69906	 1	      1833	    1.413	1
GA10354-RA 	  15677515	  15680085	11	      2571	    1.303	1
GA10355-RE 	  15557877	  15652158	10	      1311	    0.000	1
GA10359-RA 	  13428245	  13432901	 3	      3957	    0.498	2
GA10372-RA 	  17595394	  17597412	13	       891	    1.351	1
GA10376-RA 	  17593357	  17594584	13	      1107	    1.000	1
GA10380-RA 	  17158065	  17158960	12	       735	    1.337	1
GA10384-RA 	  17578618	  17579757	13	       861	    1.000	1
GA10479-RA 	   5676426	   5679350	 8	      2808	    0.115	1
GA10531-RT 	   3237156	   3244001	 7	      2946	    0.003	1
GA10543-RA 	  12277074	  12277481	 3	       294	    0.000	1
GA10563-RA 	  11243373	  11243810	 3	       378	    3.497	1
GA10564-RA 	  19400840	  19401439	14	       540	    6.000	1
GA10572-RA 	   7720918	   7722423	 9	       729	    0.000	1
GA10576-RA 	    644919	    646239	 1	      1242	    3.654	1
GA10577-RA 	  11776959	  11777165	 3	       207	    0.000	1
GA10593-RE 	   7245668	   7268717	 8	     15465	    0.278	1
GA10623-RD 	  12408762	  12421608	 3	     10089	    0.003	1
GA10629-RA 	   9540224	   9541159	 4	       873	    1.120	1
GA10635-RA 	  10668637	  10669828	 3	      1119	    0.000	1
GA10636-RA 	  10664042	  10664880	 3	       780	    0.068	1
GA10637-RA 	  10600052	  10601545	 3	      1131	    0.005	1
GA10638-RA 	  10423032	  10424903	 3	      1872	    0.000	1
GA10639-RB 	  10419536	  10422068	 3	      1869	    0.062	1
GA10640-RA 	   4686263	   4687024	 8	       762	    0.196	1
GA10641-RA 	   4743751	   4745667	 8	      1917	    0.291	1
GA10647-RA 	   9065884	   9073239	 4	      1920	    0.010	1
GA10648-RA 	   8350707	   8351816	 5	      1110	    2.640	1
GA10650-RB 	  16452156	  16453262	11	      1107	    1.369	1
GA10653-RB 	   4033934	   4065559	 8	      4764	    0.000	1
GA10654-RA 	  12310277	  12311074	 3	       735	    0.000	1
GA10655-RA 	  16849782	  16850753	11	       972	    2.000	1
GA10665-RA 	  14872913	  14875475	10	      2295	    0.011	1
GA10679-RB 	  14815705	  14817783	 6	      1737	    0.088	1
GA10702-RA 	   3345821	   3346355	 7	       327	    2.000	1
GA10704-RA 	   5862693	   5863526	 8	       834	    0.091	1
GA10710-RB 	   6024300	   6025329	 8	       975	    0.012	1
GA10723-RA 	   6511252	   6516634	 8	       561	    0.082	1
GA10726-RA 	  17732688	  17735164	14	      2295	    1.000	1
GA10731-RA 	  14584599	  14587341	 6	      2604	    2.055	1
GA10733-RB 	  19351023	  19353577	14	      2343	    6.307	1
GA10737-RA 	    199040	    209894	 1	      1992	    1.357	1
GA10744-RB 	  19382037	  19389507	14	      3342	    5.967	1
GA10745-RB 	  12083004	  12083753	 3	       606	    0.000	1
GA10748-RC 	   1353834	   1383654	 1	      3249	    1.571	1
GA10750-RB 	   1404852	   1405334	 1	       483	    1.596	1
GA10758-RA 	  17737029	  17738550	14	      1131	    1.000	1
GA10760-RA 	   1445280	   1460038	 1	      4176	    0.356	1
GA10763-RB 	   1549657	   1552783	 1	      2220	    2.024	1
GA10765-RA 	   8455589	   8456160	 5	       510	    0.710	1
GA10770-RA 	   1618456	   1627963	 1	      1278	    3.343	1
GA10772-RA 	   1631796	   1633835	 1	      1986	    2.000	1
GA10773-RA 	   1633981	   1634608	 1	       561	    2.000	1
GA10774-RA 	  10374179	  10375571	 3	      1149	    2.118	1
GA10776-RC 	   5736434	   5737955	 8	      1341	    0.028	1
GA10782-RA 	   8458329	   8459871	 5	      1302	    0.000	1
GA10784-RB 	   8461409	   8474240	 5	      2448	    0.022	1
GA10787-RA 	   5734764	   5736211	 8	      1185	    0.232	1
GA10789-RA 	  10385181	  10387529	 3	      2112	    0.544	1
GA10804-RB 	   8470153	   8470792	 5	       501	    0.000	1
GA10810-RA 	   6705976	   6706422	 8	       447	    0.000	1
GA10814-RC 	  19289859	  19291209	14	      1170	    2.713	1
GA10816-RA 	    245761	    246675	 1	       843	    0.000	1
GA10817-RB 	   8441207	   8443495	 5	      1575	    0.015	1
GA10822-RA 	   1718276	   1719775	 1	       651	    2.429	1
GA10823-RA 	   1724930	   1725961	 1	      1032	    2.000	1
GA10824-RA 	   1729195	   1730804	 1	      1545	    2.000	1
GA10828-RA 	  11555330	  11556500	 3	       972	    0.000	1
GA10829-RA 	   3651470	   3652333	 7	       864	    0.000	1
GA10830-RB 	  11559633	  11561891	 3	      1254	    0.000	1
GA10831-RA 	  11562360	  11563290	 3	       873	    0.015	1
GA10832-RA 	  11572343	  11583215	 3	      7656	    0.010	1
GA10835-RC 	   3194842	   3196858	 7	      1068	    0.915	1
GA10839-RA 	   8368619	   8370415	 5	      1731	    0.000	1
GA10840-RD 	  14903175	  14914181	10	      3561	    0.105	2
GA10842-RA 	  17730089	  17732580	14	      1707	    1.000	1
GA10844-RA 	   9259972	   9262304	 4	      2277	    0.942	1
GA10845-RA 	  17999200	  17999845	14	       519	    0.000	1
GA10849-RA 	   6093519	   6094067	 8	       488	    0.000	1
GA10852-RA 	  10503672	  10505733	 3	      1998	    1.004	1
GA10856-RA 	  10508806	  10513417	 3	      4101	    0.046	1
GA10860-RA 	  10594412	  10595359	 3	       732	    0.000	1
GA10870-RA 	  14284164	  14285840	 3	      1611	    0.348	1
GA10879-RB 	  19337506	  19337814	14	       309	    5.000	1
GA10882-RA 	  19286110	  19287381	14	      1272	    3.000	1
GA10893-RB 	   9385482	   9393722	 4	      7350	    0.113	1
GA10895-RB 	   2772244	   2772817	 7	       333	    0.000	1
GA10897-RA 	   2754486	   2757165	 7	      2319	    0.000	1
GA10898-RB 	  14900756	  14901232	10	       477	    0.000	2
GA10899-RC 	   2724241	   2728437	 7	      1497	    0.000	2
GA10901-RA 	  14836989	  14837505	10	       459	    0.028	1
GA10902-RA 	   1709062	   1710970	 1	       948	    2.000	1
GA10909-RA 	   8628084	   8631297	 5	      2673	    0.137	1
GA10968-RA 	   9480676	   9482055	 4	      1380	    2.237	1
GA10970-RA 	   9476500	   9476880	 4	       381	    3.932	1
GA10978-RA 	  16618570	  16619109	11	       540	    2.000	1
GA10982-RA 	  18585698	  18590215	14	      1239	    2.977	1
GA10988-RA 	  17254963	  17257868	12	      2601	    3.000	1
GA10990-RC 	  17252066	  17254349	12	      2112	    3.000	1
GA10993-RA 	  12218461	  12219108	 3	       588	    0.709	1
GA11023-RA 	  15534059	  15535683	10	      1317	    0.000	1
GA11024-RA 	  15532432	  15533847	10	      1416	    0.000	2
GA11026-RA 	   2043218	   2045301	 2	      2028	    0.000	1
GA11041-RB 	   9285013	   9286191	 4	      1179	    0.000	1
GA11060-RA 	   9302913	   9303944	 4	      1032	    0.000	1
GA11141-RA 	   5051201	   5055846	 8	      3957	    0.990	1
GA11181-RA 	  16240373	  16241506	11	       747	    1.234	1
GA11183-RC 	  16282033	  16286195	11	      3237	    0.126	1
GA11188-RA 	   6938032	   6940707	 8	      2676	    0.000	1
GA11192-RB 	  16249633	  16250246	11	       486	    0.076	1
GA11193-RB 	   3028573	   3030700	 7	      1812	    0.000	2
GA11198-RA 	   3073565	   3074375	 7	       675	    0.000	1
GA11199-RA 	   3174887	   3176274	 7	      1278	    1.028	1
GA11204-RA 	   6087939	   6088420	 8	       414	    0.894	1
GA11205-RD 	   8177029	   8181975	 5	      4002	    0.133	1
GA11210-RA 	   7338653	   7340604	 9	      1614	    0.000	1
GA11211-RB 	  11674975	  11677541	 3	      1458	    0.826	1
GA11212-RA 	  11690095	  11690799	 3	       639	    2.628	1
GA11246-RA 	   5463640	   5466261	 8	      1740	    0.298	1
GA11258-RE 	  16109575	  16112912	11	      2454	    0.389	1
GA11261-RA 	  16101951	  16104627	11	      2382	    1.145	1
GA11265-RB 	  16045790	  16059568	11	     10881	    0.015	2
GA11272-RC 	   3342326	   3344521	 7	      1887	    2.550	1
GA11291-RH 	   3302882	   3310719	 7	      5127	    0.012	1
GA11297-RB 	   9659075	   9663867	 4	      2820	    0.004	1
GA11356-RA 	  10596147	  10597706	 3	      1560	    0.129	1
GA11400-RA 	  10521681	  10522237	 3	       411	    0.000	1
GA11404-RA 	  18079485	  18087582	14	      4155	    2.413	1
GA11420-RA 	   2135504	   2135779	 2	       276	    2.442	1
GA11422-RA 	  10939227	  10940805	 3	      1506	    0.106	1
GA11423-RA 	  10937749	  10939162	 3	      1251	    1.150	1
GA11425-RB 	   4263987	   4266599	 8	      1689	    1.792	1
GA11426-RA 	   4260291	   4261581	 8	       723	    0.997	1
GA11428-RA 	   4258106	   4259445	 8	      1236	    0.000	1
GA11432-RA 	   4319720	   4321948	 8	      1815	    0.000	1
GA11434-RA 	   1198835	   1202576	 1	       657	    0.183	1
GA11435-RA 	   1209992	   1211426	 1	       684	    0.000	1
GA11444-RA 	   6744359	   6745051	 8	       612	    0.590	1
GA11448-RA 	   1469378	   1470827	 1	       990	    0.000	1
GA11452-RA 	   1327545	   1328908	 1	      1173	    2.627	1
GA11466-RA 	  13036270	  13036933	 3	       453	    0.000	1
GA11480-RD 	  10099848	  10101651	 4	       471	    0.000	1
